gvkey,iid,datadate,tic,ajexdi,prccd
001161,01,19900102,AMD,2.0000,8.2500
001161,01,19900103,AMD,2.0000,8.0000
001161,01,19900104,AMD,2.0000,7.8750
001161,01,19900105,AMD,2.0000,7.6250
001161,01,19900108,AMD,2.0000,7.6250
001161,01,19900109,AMD,2.0000,7.7500
001161,01,19900110,AMD,2.0000,7.6250
001161,01,19900111,AMD,2.0000,7.7500
001161,01,19900112,AMD,2.0000,7.5000
001161,01,19900115,AMD,2.0000,7.2500
001161,01,19900116,AMD,2.0000,7.8750
001161,01,19900117,AMD,2.0000,7.6250
001161,01,19900118,AMD,2.0000,7.6250
001161,01,19900119,AMD,2.0000,7.5000
001161,01,19900122,AMD,2.0000,7.5000
001161,01,19900123,AMD,2.0000,7.3750
001161,01,19900124,AMD,2.0000,7.6250
001161,01,19900125,AMD,2.0000,7.6250
001161,01,19900126,AMD,2.0000,7.3750
001161,01,19900129,AMD,2.0000,7.3750
001161,01,19900130,AMD,2.0000,7.2500
001161,01,19900131,AMD,2.0000,7.2500
001161,01,19900201,AMD,2.0000,7.2500
001161,01,19900202,AMD,2.0000,7.0000
001161,01,19900205,AMD,2.0000,7.1250
001161,01,19900206,AMD,2.0000,7.0000
001161,01,19900207,AMD,2.0000,7.3750
001161,01,19900208,AMD,2.0000,7.3750
001161,01,19900209,AMD,2.0000,7.2500
001161,01,19900212,AMD,2.0000,7.0000
001161,01,19900213,AMD,2.0000,7.1250
001161,01,19900214,AMD,2.0000,7.1250
001161,01,19900215,AMD,2.0000,7.1250
001161,01,19900216,AMD,2.0000,7.2500
001161,01,19900220,AMD,2.0000,7.1250
001161,01,19900221,AMD,2.0000,7.5000
001161,01,19900222,AMD,2.0000,7.7500
001161,01,19900223,AMD,2.0000,7.7500
001161,01,19900226,AMD,2.0000,8.1250
001161,01,19900227,AMD,2.0000,8.6250
001161,01,19900228,AMD,2.0000,8.2500
001161,01,19900301,AMD,2.0000,8.7500
001161,01,19900302,AMD,2.0000,9.0000
001161,01,19900305,AMD,2.0000,9.2500
001161,01,19900306,AMD,2.0000,9.1250
001161,01,19900307,AMD,2.0000,9.0000
001161,01,19900308,AMD,2.0000,9.0000
001161,01,19900309,AMD,2.0000,9.0000
001161,01,19900312,AMD,2.0000,8.8750
001161,01,19900313,AMD,2.0000,8.8750
001161,01,19900314,AMD,2.0000,9.1250
001161,01,19900315,AMD,2.0000,9.0000
001161,01,19900316,AMD,2.0000,9.2500
001161,01,19900319,AMD,2.0000,9.6250
001161,01,19900320,AMD,2.0000,9.0000
001161,01,19900321,AMD,2.0000,9.5000
001161,01,19900322,AMD,2.0000,9.6250
001161,01,19900323,AMD,2.0000,9.8750
001161,01,19900326,AMD,2.0000,9.6250
001161,01,19900327,AMD,2.0000,9.7500
001161,01,19900328,AMD,2.0000,9.5000
001161,01,19900329,AMD,2.0000,9.3750
001161,01,19900330,AMD,2.0000,9.1250
001161,01,19900402,AMD,2.0000,9.3750
001161,01,19900403,AMD,2.0000,9.2500
001161,01,19900404,AMD,2.0000,9.1250
001161,01,19900405,AMD,2.0000,9.0000
001161,01,19900406,AMD,2.0000,8.8750
001161,01,19900409,AMD,2.0000,8.5000
001161,01,19900410,AMD,2.0000,8.7500
001161,01,19900411,AMD,2.0000,8.8750
001161,01,19900412,AMD,2.0000,8.8750
001161,01,19900416,AMD,2.0000,8.6250
001161,01,19900417,AMD,2.0000,8.8750
001161,01,19900418,AMD,2.0000,8.7500
001161,01,19900419,AMD,2.0000,8.6250
001161,01,19900420,AMD,2.0000,8.6250
001161,01,19900423,AMD,2.0000,8.3750
001161,01,19900424,AMD,2.0000,8.3750
001161,01,19900425,AMD,2.0000,8.3750
