gvkey,iid,datadate,tic,ajexdi,prccd
003144,01,19900102,KO,16.0000,78.0000
003144,01,19900103,KO,16.0000,76.8750
003144,01,19900104,KO,16.0000,76.5000
003144,01,19900105,KO,16.0000,75.8750
003144,01,19900108,KO,16.0000,77.5000
003144,01,19900109,KO,16.0000,76.8750
003144,01,19900110,KO,16.0000,76.3750
003144,01,19900111,KO,16.0000,76.3750
003144,01,19900112,KO,16.0000,73.6250
003144,01,19900115,KO,16.0000,72.3750
003144,01,19900116,KO,16.0000,73.0000
003144,01,19900117,KO,16.0000,72.5000
003144,01,19900118,KO,16.0000,72.1250
003144,01,19900119,KO,16.0000,72.6250
003144,01,19900122,KO,16.0000,70.5000
003144,01,19900123,KO,16.0000,71.0000
003144,01,19900124,KO,16.0000,70.6250
003144,01,19900125,KO,16.0000,68.7500
003144,01,19900126,KO,16.0000,67.5000
003144,01,19900129,KO,16.0000,68.2500
003144,01,19900130,KO,16.0000,66.2500
003144,01,19900131,KO,16.0000,68.8750
003144,01,19900201,KO,16.0000,68.7500
003144,01,19900202,KO,16.0000,69.3750
003144,01,19900205,KO,16.0000,69.1250
003144,01,19900206,KO,16.0000,68.7500
003144,01,19900207,KO,16.0000,69.5000
003144,01,19900208,KO,16.0000,69.3750
003144,01,19900209,KO,16.0000,69.0000
003144,01,19900212,KO,16.0000,68.5000
003144,01,19900213,KO,16.0000,67.0000
003144,01,19900214,KO,16.0000,67.1250
003144,01,19900215,KO,16.0000,69.5000
003144,01,19900216,KO,16.0000,68.5000
003144,01,19900220,KO,16.0000,68.5000
003144,01,19900221,KO,16.0000,68.5000
003144,01,19900222,KO,16.0000,67.7500
003144,01,19900223,KO,16.0000,68.0000
003144,01,19900226,KO,16.0000,69.2500
003144,01,19900227,KO,16.0000,69.8750
003144,01,19900228,KO,16.0000,70.5000
003144,01,19900301,KO,16.0000,70.7500
003144,01,19900302,KO,16.0000,70.2500
003144,01,19900305,KO,16.0000,70.2500
003144,01,19900306,KO,16.0000,71.5000
003144,01,19900307,KO,16.0000,71.3750
003144,01,19900308,KO,16.0000,72.3750
003144,01,19900309,KO,16.0000,72.0000
003144,01,19900312,KO,16.0000,72.1250
003144,01,19900313,KO,16.0000,71.8750
003144,01,19900314,KO,16.0000,72.3750
003144,01,19900315,KO,16.0000,72.2500
003144,01,19900316,KO,16.0000,73.2500
003144,01,19900319,KO,16.0000,75.3750
003144,01,19900320,KO,16.0000,74.5000
003144,01,19900321,KO,16.0000,74.0000
003144,01,19900322,KO,16.0000,72.5000
003144,01,19900323,KO,16.0000,74.1250
003144,01,19900326,KO,16.0000,74.3750
003144,01,19900327,KO,16.0000,75.3750
003144,01,19900328,KO,16.0000,75.8750
003144,01,19900329,KO,16.0000,75.5000
003144,01,19900330,KO,16.0000,74.7500
003144,01,19900402,KO,16.0000,76.0000
003144,01,19900403,KO,16.0000,77.2500
003144,01,19900404,KO,16.0000,77.3750
003144,01,19900405,KO,16.0000,77.5000
003144,01,19900406,KO,16.0000,77.8750
003144,01,19900409,KO,16.0000,79.2500
003144,01,19900410,KO,16.0000,80.1250
003144,01,19900411,KO,16.0000,80.0000
003144,01,19900412,KO,16.0000,80.5000
003144,01,19900416,KO,16.0000,80.3750
003144,01,19900417,KO,16.0000,80.2500
003144,01,19900418,KO,16.0000,79.2500
003144,01,19900419,KO,16.0000,77.3750
003144,01,19900420,KO,16.0000,76.6250
003144,01,19900423,KO,16.0000,76.8750
003144,01,19900424,KO,16.0000,77.0000
003144,01,19900425,KO,16.0000,77.0000
003144,01,19900426,KO,16.0000,77.0000
003144,01,19900427,KO,16.0000,75.2500
003144,01,19900430,KO,16.0000,76.2500
003144,01,19900501,KO,16.0000,76.7500
003144,01,19900502,KO,16.0000,77.3750
003144,01,19900503,KO,16.0000,78.0000
003144,01,19900504,KO,16.0000,78.2500
003144,01,19900507,KO,16.0000,78.7500
003144,01,19900508,KO,16.0000,79.6250
003144,01,19900509,KO,16.0000,79.8750
