gvkey,iid,datadate,tic,ajexdi,prccd
004503,01,19900102,XOM,4.0000,50.0000
004503,01,19900103,XOM,4.0000,49.5000
004503,01,19900104,XOM,4.0000,49.0000
004503,01,19900105,XOM,4.0000,48.7500
004503,01,19900108,XOM,4.0000,49.5000
004503,01,19900109,XOM,4.0000,48.5000
004503,01,19900110,XOM,4.0000,48.7500
004503,01,19900111,XOM,4.0000,49.0000
004503,01,19900112,XOM,4.0000,47.7500
004503,01,19900115,XOM,4.0000,48.3750
004503,01,19900116,XOM,4.0000,48.1250
004503,01,19900117,XOM,4.0000,47.3750
004503,01,19900118,XOM,4.0000,48.0000
004503,01,19900119,XOM,4.0000,48.6250
004503,01,19900122,XOM,4.0000,47.0000
004503,01,19900123,XOM,4.0000,47.1250
004503,01,19900124,XOM,4.0000,47.0000
004503,01,19900125,XOM,4.0000,46.0000
004503,01,19900126,XOM,4.0000,46.7500
004503,01,19900129,XOM,4.0000,47.0000
004503,01,19900130,XOM,4.0000,47.0000
004503,01,19900131,XOM,4.0000,47.0000
004503,01,19900201,XOM,4.0000,47.0000
004503,01,19900202,XOM,4.0000,47.8750
004503,01,19900205,XOM,4.0000,48.0000
004503,01,19900206,XOM,4.0000,47.2500
004503,01,19900207,XOM,4.0000,48.0000
004503,01,19900208,XOM,4.0000,48.1250
004503,01,19900209,XOM,4.0000,48.2500
004503,01,19900212,XOM,4.0000,47.1250
004503,01,19900213,XOM,4.0000,47.2500
004503,01,19900214,XOM,4.0000,47.0000
004503,01,19900215,XOM,4.0000,48.5000
004503,01,19900216,XOM,4.0000,48.0000
004503,01,19900220,XOM,4.0000,47.3750
004503,01,19900221,XOM,4.0000,47.6250
004503,01,19900222,XOM,4.0000,47.1250
004503,01,19900223,XOM,4.0000,47.1250
004503,01,19900226,XOM,4.0000,48.2500
004503,01,19900227,XOM,4.0000,48.3750
004503,01,19900228,XOM,4.0000,47.0000
004503,01,19900301,XOM,4.0000,46.5000
004503,01,19900302,XOM,4.0000,46.7500
004503,01,19900305,XOM,4.0000,46.2500
004503,01,19900306,XOM,4.0000,47.1250
004503,01,19900307,XOM,4.0000,46.5000
004503,01,19900308,XOM,4.0000,46.7500
004503,01,19900309,XOM,4.0000,46.3750
004503,01,19900312,XOM,4.0000,46.5000
004503,01,19900313,XOM,4.0000,45.6250
004503,01,19900314,XOM,4.0000,46.5000
004503,01,19900315,XOM,4.0000,46.8750
004503,01,19900316,XOM,4.0000,47.5000
004503,01,19900319,XOM,4.0000,47.5000
004503,01,19900320,XOM,4.0000,46.7500
004503,01,19900321,XOM,4.0000,46.2500
004503,01,19900322,XOM,4.0000,46.0000
004503,01,19900323,XOM,4.0000,46.1250
004503,01,19900326,XOM,4.0000,45.7500
004503,01,19900327,XOM,4.0000,46.6250
004503,01,19900328,XOM,4.0000,46.2500
004503,01,19900329,XOM,4.0000,46.1250
004503,01,19900330,XOM,4.0000,46.1250
004503,01,19900402,XOM,4.0000,46.2500
004503,01,19900403,XOM,4.0000,47.1250
004503,01,19900404,XOM,4.0000,46.5000
004503,01,19900405,XOM,4.0000,46.2500
004503,01,19900406,XOM,4.0000,46.1250
004503,01,19900409,XOM,4.0000,46.0000
004503,01,19900410,XOM,4.0000,46.0000
004503,01,19900411,XOM,4.0000,45.6250
004503,01,19900412,XOM,4.0000,45.7500
004503,01,19900416,XOM,4.0000,45.6250
004503,01,19900417,XOM,4.0000,45.7500
004503,01,19900418,XOM,4.0000,45.5000
004503,01,19900419,XOM,4.0000,46.0000
004503,01,19900420,XOM,4.0000,46.3750
004503,01,19900423,XOM,4.0000,45.7500
004503,01,19900424,XOM,4.0000,45.2500
004503,01,19900425,XOM,4.0000,45.2500
004503,01,19900426,XOM,4.0000,45.6250
004503,01,19900427,XOM,4.0000,45.0000
004503,01,19900430,XOM,4.0000,45.2500
004503,01,19900501,XOM,4.0000,45.1250
004503,01,19900502,XOM,4.0000,45.8750
004503,01,19900503,XOM,4.0000,46.3750
004503,01,19900504,XOM,4.0000,46.5000
004503,01,19900507,XOM,4.0000,46.5000
004503,01,19900508,XOM,4.0000,45.7500
004503,01,19900509,XOM,4.0000,46.0000
004503,01,19900510,XOM,4.0000,46.6250
004503,01,19900511,XOM,4.0000,47.8750
004503,01,19900514,XOM,4.0000,48.0000
004503,01,19900515,XOM,4.0000,47.5000
004503,01,19900516,XOM,4.0000,47.8750
004503,01,19900517,XOM,4.0000,47.8750
004503,01,19900518,XOM,4.0000,47.7500
004503,01,19900521,XOM,4.0000,47.8750
004503,01,19900522,XOM,4.0000,47.8750
004503,01,19900523,XOM,4.0000,47.3750
004503,01,19900524,XOM,4.0000,47.1250
004503,01,19900525,XOM,4.0000,46.5000
004503,01,19900529,XOM,4.0000,47.6250
004503,01,19900530,XOM,4.0000,47.7500
004503,01,19900531,XOM,4.0000,48.0000
004503,01,19900601,XOM,4.0000,47.7500
004503,01,19900604,XOM,4.0000,48.2500
004503,01,19900605,XOM,4.0000,48.2500
004503,01,19900606,XOM,4.0000,47.8750
004503,01,19900607,XOM,4.0000,47.6250
004503,01,19900608,XOM,4.0000,47.0000
004503,01,19900611,XOM,4.0000,47.8750
004503,01,19900612,XOM,4.0000,48.8750
004503,01,19900613,XOM,4.0000,48.1250
004503,01,19900614,XOM,4.0000,48.1250
004503,01,19900615,XOM,4.0000,47.8750
004503,01,19900618,XOM,4.0000,47.5000
004503,01,19900619,XOM,4.0000,47.3750
004503,01,19900620,XOM,4.0000,47.8750
004503,01,19900621,XOM,4.0000,48.6250
004503,01,19900622,XOM,4.0000,47.8750
004503,01,19900625,XOM,4.0000,47.2500
004503,01,19900626,XOM,4.0000,47.0000
004503,01,19900627,XOM,4.0000,48.0000
004503,01,19900628,XOM,4.0000,48.2500
004503,01,19900629,XOM,4.0000,47.8750
004503,01,19900702,XOM,4.0000,47.7500
004503,01,19900703,XOM,4.0000,47.3750
004503,01,19900705,XOM,4.0000,46.7500
004503,01,19900706,XOM,4.0000,47.7500
004503,01,19900709,XOM,4.0000,47.3750
004503,01,19900710,XOM,4.0000,46.7500
004503,01,19900711,XOM,4.0000,47.8750
004503,01,19900712,XOM,4.0000,49.2500
004503,01,19900713,XOM,4.0000,48.7500
004503,01,19900716,XOM,4.0000,48.7500
004503,01,19900717,XOM,4.0000,48.6250
004503,01,19900718,XOM,4.0000,48.5000
004503,01,19900719,XOM,4.0000,50.0000
004503,01,19900720,XOM,4.0000,48.6250
004503,01,19900723,XOM,4.0000,47.8750
004503,01,19900724,XOM,4.0000,50.0000
004503,01,19900725,XOM,4.0000,49.6250
004503,01,19900726,XOM,4.0000,48.8750
004503,01,19900727,XOM,4.0000,49.2500
004503,01,19900730,XOM,4.0000,50.7500
004503,01,19900731,XOM,4.0000,51.8750
004503,01,19900801,XOM,4.0000,52.1250
004503,01,19900802,XOM,4.0000,53.2500
004503,01,19900803,XOM,4.0000,53.1250
004503,01,19900806,XOM,4.0000,54.2500
004503,01,19900807,XOM,4.0000,53.3750
004503,01,19900808,XOM,4.0000,51.7500
004503,01,19900809,XOM,4.0000,51.8750
004503,01,19900810,XOM,4.0000,51.6250
004503,01,19900813,XOM,4.0000,52.3750
004503,01,19900814,XOM,4.0000,52.2500
004503,01,19900815,XOM,4.0000,52.0000
004503,01,19900816,XOM,4.0000,51.7500
004503,01,19900817,XOM,4.0000,52.1250
004503,01,19900820,XOM,4.0000,52.7500
004503,01,19900821,XOM,4.0000,51.8750
004503,01,19900822,XOM,4.0000,51.3750
004503,01,19900823,XOM,4.0000,49.6250
004503,01,19900824,XOM,4.0000,48.8750
004503,01,19900827,XOM,4.0000,49.6250
004503,01,19900828,XOM,4.0000,50.1250
004503,01,19900829,XOM,4.0000,49.8750
004503,01,19900830,XOM,4.0000,48.8750
004503,01,19900831,XOM,4.0000,50.0000
004503,01,19900904,XOM,4.0000,50.1250
004503,01,19900905,XOM,4.0000,50.8750
004503,01,19900906,XOM,4.0000,50.3750
004503,01,19900907,XOM,4.0000,50.8750
004503,01,19900910,XOM,4.0000,50.3750
004503,01,19900911,XOM,4.0000,50.8750
004503,01,19900912,XOM,4.0000,51.3750
004503,01,19900913,XOM,4.0000,50.7500
004503,01,19900914,XOM,4.0000,51.3750
004503,01,19900917,XOM,4.0000,51.6250
004503,01,19900918,XOM,4.0000,51.2500
004503,01,19900919,XOM,4.0000,51.2500
004503,01,19900920,XOM,4.0000,51.1250
004503,01,19900921,XOM,4.0000,51.2500
004503,01,19900924,XOM,4.0000,50.5000
004503,01,19900925,XOM,4.0000,50.5000
004503,01,19900926,XOM,4.0000,49.8750
004503,01,19900927,XOM,4.0000,49.7500
004503,01,19900928,XOM,4.0000,49.0000
004503,01,19901001,XOM,4.0000,49.6250
004503,01,19901002,XOM,4.0000,49.5000
004503,01,19901003,XOM,4.0000,49.6250
004503,01,19901004,XOM,4.0000,50.3750
004503,01,19901005,XOM,4.0000,49.8750
004503,01,19901008,XOM,4.0000,50.3750
004503,01,19901009,XOM,4.0000,49.7500
004503,01,19901010,XOM,4.0000,48.7500
004503,01,19901011,XOM,4.0000,48.1250
004503,01,19901012,XOM,4.0000,48.5000
004503,01,19901015,XOM,4.0000,49.2500
004503,01,19901016,XOM,4.0000,48.6250
004503,01,19901017,XOM,4.0000,48.5000
004503,01,19901018,XOM,4.0000,48.5000
004503,01,19901019,XOM,4.0000,49.8750
004503,01,19901022,XOM,4.0000,49.6250
004503,01,19901023,XOM,4.0000,48.5000
004503,01,19901024,XOM,4.0000,48.5000
004503,01,19901025,XOM,4.0000,47.7500
004503,01,19901026,XOM,4.0000,47.2500
004503,01,19901029,XOM,4.0000,47.6250
004503,01,19901030,XOM,4.0000,48.8750
004503,01,19901031,XOM,4.0000,49.0000
004503,01,19901101,XOM,4.0000,49.7500
004503,01,19901102,XOM,4.0000,49.6250
004503,01,19901105,XOM,4.0000,49.0000
004503,01,19901106,XOM,4.0000,49.2500
004503,01,19901107,XOM,4.0000,48.2500
004503,01,19901108,XOM,4.0000,49.2500
004503,01,19901109,XOM,4.0000,50.3750
004503,01,19901112,XOM,4.0000,50.2500
004503,01,19901113,XOM,4.0000,50.0000
004503,01,19901114,XOM,4.0000,50.2500
004503,01,19901115,XOM,4.0000,50.0000
004503,01,19901116,XOM,4.0000,50.3750
004503,01,19901119,XOM,4.0000,50.6250
004503,01,19901120,XOM,4.0000,50.6250
004503,01,19901121,XOM,4.0000,50.7500
004503,01,19901123,XOM,4.0000,51.1250
004503,01,19901126,XOM,4.0000,51.0000
004503,01,19901127,XOM,4.0000,50.3750
004503,01,19901128,XOM,4.0000,50.3750
004503,01,19901129,XOM,4.0000,50.2500
004503,01,19901130,XOM,4.0000,50.6250
004503,01,19901203,XOM,4.0000,50.7500
