gvkey,iid,datadate,tic,ajexdi,prccd
002285,01,19900102,BA,3.0000,61.5000
002285,01,19900103,BA,3.0000,63.0000
002285,01,19900104,BA,3.0000,62.7500
002285,01,19900105,BA,3.0000,61.8750
002285,01,19900108,BA,3.0000,62.6250
002285,01,19900109,BA,3.0000,61.8750
002285,01,19900110,BA,3.0000,62.1250
002285,01,19900111,BA,3.0000,61.2500
002285,01,19900112,BA,3.0000,60.0000
002285,01,19900115,BA,3.0000,59.3750
002285,01,19900116,BA,3.0000,59.8750
002285,01,19900117,BA,3.0000,60.2500
002285,01,19900118,BA,3.0000,60.0000
002285,01,19900119,BA,3.0000,60.8750
002285,01,19900122,BA,3.0000,59.2500
002285,01,19900123,BA,3.0000,59.0000
002285,01,19900124,BA,3.0000,59.6250
002285,01,19900125,BA,3.0000,58.0000
002285,01,19900126,BA,3.0000,57.8750
002285,01,19900129,BA,3.0000,57.3750
002285,01,19900130,BA,3.0000,58.2500
002285,01,19900131,BA,3.0000,59.2500
002285,01,19900201,BA,3.0000,61.2500
002285,01,19900202,BA,3.0000,62.2500
002285,01,19900205,BA,3.0000,63.1250
002285,01,19900206,BA,3.0000,63.5000
002285,01,19900207,BA,3.0000,63.5000
002285,01,19900208,BA,3.0000,62.5000
002285,01,19900209,BA,3.0000,62.3750
002285,01,19900212,BA,3.0000,62.2500
002285,01,19900213,BA,3.0000,62.1250
002285,01,19900214,BA,3.0000,63.5000
002285,01,19900215,BA,3.0000,63.5000
002285,01,19900216,BA,3.0000,62.8750
002285,01,19900220,BA,3.0000,61.5000
002285,01,19900221,BA,3.0000,60.5000
002285,01,19900222,BA,3.0000,60.6250
002285,01,19900223,BA,3.0000,60.0000
002285,01,19900226,BA,3.0000,61.1250
002285,01,19900227,BA,3.0000,61.6250
002285,01,19900228,BA,3.0000,63.8750
002285,01,19900301,BA,3.0000,65.0000
002285,01,19900302,BA,3.0000,64.8750
002285,01,19900305,BA,3.0000,65.0000
002285,01,19900306,BA,3.0000,65.2500
002285,01,19900307,BA,3.0000,66.1250
002285,01,19900308,BA,3.0000,67.1250
002285,01,19900309,BA,3.0000,67.7500
002285,01,19900312,BA,3.0000,67.0000
002285,01,19900313,BA,3.0000,66.5000
002285,01,19900314,BA,3.0000,67.5000
002285,01,19900315,BA,3.0000,67.3750
002285,01,19900316,BA,3.0000,69.7500
002285,01,19900319,BA,3.0000,71.5000
002285,01,19900320,BA,3.0000,70.5000
002285,01,19900321,BA,3.0000,71.1250
002285,01,19900322,BA,3.0000,71.2500
002285,01,19900323,BA,3.0000,73.2500
002285,01,19900326,BA,3.0000,72.0000
002285,01,19900327,BA,3.0000,72.7500
002285,01,19900328,BA,3.0000,72.8750
002285,01,19900329,BA,3.0000,72.3750
002285,01,19900330,BA,3.0000,71.7500
002285,01,19900402,BA,3.0000,71.3750
002285,01,19900403,BA,3.0000,73.2500
002285,01,19900404,BA,3.0000,72.0000
002285,01,19900405,BA,3.0000,72.8750
002285,01,19900406,BA,3.0000,72.8750
002285,01,19900409,BA,3.0000,72.3750
002285,01,19900410,BA,3.0000,72.1250
002285,01,19900411,BA,3.0000,72.5000
002285,01,19900412,BA,3.0000,73.1250
002285,01,19900416,BA,3.0000,73.2500
002285,01,19900417,BA,3.0000,73.0000
002285,01,19900418,BA,3.0000,71.5000
002285,01,19900419,BA,3.0000,71.1250
002285,01,19900420,BA,3.0000,70.5000
002285,01,19900423,BA,3.0000,70.0000
002285,01,19900424,BA,3.0000,69.8750
002285,01,19900425,BA,3.0000,69.8750
002285,01,19900426,BA,3.0000,70.0000
002285,01,19900427,BA,3.0000,68.7500
002285,01,19900430,BA,3.0000,69.7500
002285,01,19900501,BA,3.0000,72.2500
002285,01,19900502,BA,3.0000,73.0000
002285,01,19900503,BA,3.0000,73.5000
002285,01,19900504,BA,3.0000,74.0000
002285,01,19900507,BA,3.0000,73.3750
002285,01,19900508,BA,3.0000,73.7500
002285,01,19900509,BA,3.0000,73.7500
002285,01,19900510,BA,3.0000,75.3750
002285,01,19900511,BA,3.0000,78.0000
002285,01,19900514,BA,3.0000,78.0000
002285,01,19900515,BA,3.0000,77.0000
002285,01,19900516,BA,3.0000,76.5000
002285,01,19900517,BA,3.0000,77.1250
002285,01,19900518,BA,3.0000,77.8750
002285,01,19900521,BA,3.0000,79.1250
002285,01,19900522,BA,3.0000,79.6250
002285,01,19900523,BA,3.0000,81.1250
002285,01,19900524,BA,3.0000,82.6250
002285,01,19900525,BA,3.0000,81.7500
002285,01,19900529,BA,3.0000,81.8750
002285,01,19900530,BA,3.0000,82.0000
002285,01,19900531,BA,3.0000,82.3750
002285,01,19900601,BA,3.0000,84.7500
002285,01,19900604,BA,3.0000,86.3750
002285,01,19900605,BA,3.0000,85.2500
002285,01,19900606,BA,3.0000,85.0000
002285,01,19900607,BA,3.0000,83.8750
002285,01,19900608,BA,3.0000,82.5000
002285,01,19900611,BA,2.0000,58.5000
002285,01,19900612,BA,2.0000,58.8750
002285,01,19900613,BA,2.0000,59.7500
002285,01,19900614,BA,2.0000,60.1250
002285,01,19900615,BA,2.0000,60.1250
002285,01,19900618,BA,2.0000,59.0000
002285,01,19900619,BA,2.0000,58.6250
002285,01,19900620,BA,2.0000,58.1250
002285,01,19900621,BA,2.0000,59.0000
002285,01,19900622,BA,2.0000,57.3750
002285,01,19900625,BA,2.0000,57.2500
002285,01,19900626,BA,2.0000,57.6250
002285,01,19900627,BA,2.0000,58.7500
002285,01,19900628,BA,2.0000,59.0000
002285,01,19900629,BA,2.0000,58.5000
002285,01,19900702,BA,2.0000,59.1250
002285,01,19900703,BA,2.0000,59.7500
002285,01,19900705,BA,2.0000,59.2500
002285,01,19900706,BA,2.0000,60.5000
002285,01,19900709,BA,2.0000,60.3750
002285,01,19900710,BA,2.0000,60.0000
002285,01,19900711,BA,2.0000,61.5000
002285,01,19900712,BA,2.0000,61.1250
002285,01,19900713,BA,2.0000,61.1250
002285,01,19900716,BA,2.0000,61.1250
002285,01,19900717,BA,2.0000,60.2500
002285,01,19900718,BA,2.0000,59.5000
002285,01,19900719,BA,2.0000,59.0000
002285,01,19900720,BA,2.0000,58.0000
002285,01,19900723,BA,2.0000,55.8750
002285,01,19900724,BA,2.0000,56.8750
002285,01,19900725,BA,2.0000,58.2500
002285,01,19900726,BA,2.0000,59.1250
002285,01,19900727,BA,2.0000,59.2500
002285,01,19900730,BA,2.0000,58.6250
002285,01,19900731,BA,2.0000,57.7500
002285,01,19900801,BA,2.0000,55.7500
002285,01,19900802,BA,2.0000,53.5000
002285,01,19900803,BA,2.0000,54.0000
002285,01,19900806,BA,2.0000,50.5000
002285,01,19900807,BA,2.0000,52.0000
002285,01,19900808,BA,2.0000,53.0000
002285,01,19900809,BA,2.0000,54.5000
002285,01,19900810,BA,2.0000,53.2500
002285,01,19900813,BA,2.0000,52.6250
002285,01,19900814,BA,2.0000,52.0000
002285,01,19900815,BA,2.0000,52.3750
002285,01,19900816,BA,2.0000,50.6250
002285,01,19900817,BA,2.0000,48.5000
002285,01,19900820,BA,2.0000,48.5000
002285,01,19900821,BA,2.0000,46.1250
002285,01,19900822,BA,2.0000,45.0000
002285,01,19900823,BA,2.0000,42.5000
002285,01,19900824,BA,2.0000,45.8750
002285,01,19900827,BA,2.0000,48.3750
002285,01,19900828,BA,2.0000,47.8750
002285,01,19900829,BA,2.0000,48.7500
002285,01,19900830,BA,2.0000,48.2500
002285,01,19900831,BA,2.0000,48.2500
002285,01,19900904,BA,2.0000,48.6250
002285,01,19900905,BA,2.0000,48.7500
002285,01,19900906,BA,2.0000,47.2500
002285,01,19900907,BA,2.0000,47.0000
002285,01,19900910,BA,2.0000,47.3750
002285,01,19900911,BA,2.0000,47.6250
002285,01,19900912,BA,2.0000,47.6250
002285,01,19900913,BA,2.0000,46.8750
002285,01,19900914,BA,2.0000,46.1250
002285,01,19900917,BA,2.0000,45.6250
002285,01,19900918,BA,2.0000,45.2500
002285,01,19900919,BA,2.0000,44.0000
002285,01,19900920,BA,2.0000,43.8750
002285,01,19900921,BA,2.0000,43.2500
002285,01,19900924,BA,2.0000,40.3750
002285,01,19900925,BA,2.0000,40.7500
002285,01,19900926,BA,2.0000,40.8750
002285,01,19900927,BA,2.0000,39.6250
002285,01,19900928,BA,2.0000,41.6250
002285,01,19901001,BA,2.0000,44.2500
002285,01,19901002,BA,2.0000,43.2500
002285,01,19901003,BA,2.0000,42.6250
002285,01,19901004,BA,2.0000,43.0000
002285,01,19901005,BA,2.0000,43.5000
002285,01,19901008,BA,2.0000,43.8750
002285,01,19901009,BA,2.0000,44.3750
002285,01,19901010,BA,2.0000,43.8750
002285,01,19901011,BA,2.0000,43.0000
002285,01,19901012,BA,2.0000,44.5000
002285,01,19901015,BA,2.0000,46.0000
002285,01,19901016,BA,2.0000,45.3750
002285,01,19901017,BA,2.0000,46.0000
002285,01,19901018,BA,2.0000,48.2500
002285,01,19901019,BA,2.0000,48.5000
002285,01,19901022,BA,2.0000,48.5000
002285,01,19901023,BA,2.0000,47.3750
002285,01,19901024,BA,2.0000,47.1250
002285,01,19901025,BA,2.0000,47.8750
002285,01,19901026,BA,2.0000,46.1250
002285,01,19901029,BA,2.0000,46.1250
002285,01,19901030,BA,2.0000,44.5000
002285,01,19901031,BA,2.0000,44.7500
002285,01,19901101,BA,2.0000,44.2500
002285,01,19901102,BA,2.0000,46.0000
002285,01,19901105,BA,2.0000,46.1250
002285,01,19901106,BA,2.0000,45.3750
002285,01,19901107,BA,2.0000,44.5000
002285,01,19901108,BA,2.0000,44.2500
002285,01,19901109,BA,2.0000,44.8750
002285,01,19901112,BA,2.0000,45.7500
002285,01,19901113,BA,2.0000,46.3750
002285,01,19901114,BA,2.0000,46.8750
002285,01,19901115,BA,2.0000,46.5000
002285,01,19901116,BA,2.0000,46.3750
002285,01,19901119,BA,2.0000,47.2500
002285,01,19901120,BA,2.0000,42.6250
002285,01,19901121,BA,2.0000,44.2500
002285,01,19901123,BA,2.0000,44.6250
002285,01,19901126,BA,2.0000,43.6250
002285,01,19901127,BA,2.0000,43.8750
002285,01,19901128,BA,2.0000,42.8750
002285,01,19901129,BA,2.0000,43.0000
002285,01,19901130,BA,2.0000,44.2500
002285,01,19901203,BA,2.0000,45.0000
002285,01,19901204,BA,2.0000,45.5000
002285,01,19901205,BA,2.0000,46.2500
002285,01,19901206,BA,2.0000,46.1250
002285,01,19901207,BA,2.0000,45.5000
002285,01,19901210,BA,2.0000,44.8750
002285,01,19901211,BA,2.0000,45.1250
002285,01,19901212,BA,2.0000,45.7500
002285,01,19901213,BA,2.0000,45.1250
002285,01,19901214,BA,2.0000,44.8750
002285,01,19901217,BA,2.0000,44.5000
002285,01,19901218,BA,2.0000,44.8750
002285,01,19901219,BA,2.0000,45.2500
002285,01,19901220,BA,2.0000,45.8750
002285,01,19901221,BA,2.0000,46.5000
002285,01,19901224,BA,2.0000,46.1250
002285,01,19901226,BA,2.0000,46.2500
002285,01,19901227,BA,2.0000,45.8750
002285,01,19901228,BA,2.0000,45.8750
002285,01,19901231,BA,2.0000,45.3750
002285,01,19910102,BA,2.0000,44.8750
002285,01,19910103,BA,2.0000,44.7500
002285,01,19910104,BA,2.0000,46.3750
002285,01,19910107,BA,2.0000,44.6250
002285,01,19910108,BA,2.0000,44.0000
002285,01,19910109,BA,2.0000,43.7500
002285,01,19910110,BA,2.0000,45.0000
002285,01,19910111,BA,2.0000,45.1250
002285,01,19910114,BA,2.0000,44.3750
002285,01,19910115,BA,2.0000,44.1250
002285,01,19910116,BA,2.0000,45.3750
002285,01,19910117,BA,2.0000,48.2500
002285,01,19910118,BA,2.0000,49.2500
002285,01,19910121,BA,2.0000,48.5000
002285,01,19910122,BA,2.0000,47.1250
002285,01,19910123,BA,2.0000,47.1250
002285,01,19910124,BA,2.0000,48.7500
002285,01,19910125,BA,2.0000,49.1250
002285,01,19910128,BA,2.0000,46.8750
002285,01,19910129,BA,2.0000,47.2500
002285,01,19910130,BA,2.0000,47.8750
002285,01,19910131,BA,2.0000,49.3750
002285,01,19910201,BA,2.0000,49.7500
002285,01,19910204,BA,2.0000,51.6250
002285,01,19910205,BA,2.0000,51.1250
002285,01,19910206,BA,2.0000,52.0000
002285,01,19910207,BA,2.0000,51.0000
002285,01,19910208,BA,2.0000,52.2500
002285,01,19910211,BA,2.0000,51.3750
002285,01,19910212,BA,2.0000,48.2500
002285,01,19910213,BA,2.0000,47.1250
002285,01,19910214,BA,2.0000,48.2500
002285,01,19910215,BA,2.0000,49.0000
002285,01,19910219,BA,2.0000,49.3750
002285,01,19910220,BA,2.0000,48.0000
002285,01,19910221,BA,2.0000,47.5000
002285,01,19910222,BA,2.0000,47.8750
002285,01,19910225,BA,2.0000,46.8750
