gvkey,iid,datadate,tic,ajexdi,prccd
007154,01,19900102,MCD,4.0000,34.8750
007154,01,19900103,MCD,4.0000,34.5000
007154,01,19900104,MCD,4.0000,33.8750
007154,01,19900105,MCD,4.0000,33.2500
007154,01,19900108,MCD,4.0000,33.8750
007154,01,19900109,MCD,4.0000,33.6250
007154,01,19900110,MCD,4.0000,33.0000
007154,01,19900111,MCD,4.0000,32.7500
007154,01,19900112,MCD,4.0000,32.1250
007154,01,19900115,MCD,4.0000,31.7500
007154,01,19900116,MCD,4.0000,32.1250
007154,01,19900117,MCD,4.0000,32.1250
007154,01,19900118,MCD,4.0000,32.2500
007154,01,19900119,MCD,4.0000,31.8750
007154,01,19900122,MCD,4.0000,31.0000
007154,01,19900123,MCD,4.0000,31.5000
007154,01,19900124,MCD,4.0000,31.0000
007154,01,19900125,MCD,4.0000,30.8750
007154,01,19900126,MCD,4.0000,31.2500
007154,01,19900129,MCD,4.0000,31.2500
007154,01,19900130,MCD,4.0000,31.2500
007154,01,19900131,MCD,4.0000,32.6250
007154,01,19900201,MCD,4.0000,33.1250
007154,01,19900202,MCD,4.0000,33.2500
007154,01,19900205,MCD,4.0000,33.5000
007154,01,19900206,MCD,4.0000,33.1250
007154,01,19900207,MCD,4.0000,33.8750
007154,01,19900208,MCD,4.0000,33.1250
007154,01,19900209,MCD,4.0000,33.0000
007154,01,19900212,MCD,4.0000,32.5000
007154,01,19900213,MCD,4.0000,32.6250
007154,01,19900214,MCD,4.0000,32.2500
007154,01,19900215,MCD,4.0000,32.8750
007154,01,19900216,MCD,4.0000,32.3750
007154,01,19900220,MCD,4.0000,31.8750
007154,01,19900221,MCD,4.0000,31.2500
007154,01,19900222,MCD,4.0000,31.2500
007154,01,19900223,MCD,4.0000,30.7500
007154,01,19900226,MCD,4.0000,31.5000
007154,01,19900227,MCD,4.0000,31.6250
007154,01,19900228,MCD,4.0000,31.5000
007154,01,19900301,MCD,4.0000,31.5000
007154,01,19900302,MCD,4.0000,31.7500
007154,01,19900305,MCD,4.0000,32.0000
007154,01,19900306,MCD,4.0000,32.0000
007154,01,19900307,MCD,4.0000,31.1250
007154,01,19900308,MCD,4.0000,32.0000
007154,01,19900309,MCD,4.0000,32.1250
007154,01,19900312,MCD,4.0000,32.0000
007154,01,19900313,MCD,4.0000,31.6250
007154,01,19900314,MCD,4.0000,31.7500
007154,01,19900315,MCD,4.0000,31.6250
007154,01,19900316,MCD,4.0000,31.8750
007154,01,19900319,MCD,4.0000,32.7500
007154,01,19900320,MCD,4.0000,32.3750
007154,01,19900321,MCD,4.0000,31.8750
007154,01,19900322,MCD,4.0000,31.5000
007154,01,19900323,MCD,4.0000,31.3750
007154,01,19900326,MCD,4.0000,31.3750
007154,01,19900327,MCD,4.0000,31.8750
007154,01,19900328,MCD,4.0000,31.8750
007154,01,19900329,MCD,4.0000,31.6250
007154,01,19900330,MCD,4.0000,31.7500
007154,01,19900402,MCD,4.0000,31.6250
007154,01,19900403,MCD,4.0000,32.0000
007154,01,19900404,MCD,4.0000,31.5000
007154,01,19900405,MCD,4.0000,31.5000
007154,01,19900406,MCD,4.0000,31.2500
007154,01,19900409,MCD,4.0000,31.8750
007154,01,19900410,MCD,4.0000,32.2500
007154,01,19900411,MCD,4.0000,32.1250
007154,01,19900412,MCD,4.0000,32.6250
007154,01,19900416,MCD,4.0000,32.8750
007154,01,19900417,MCD,4.0000,33.0000
007154,01,19900418,MCD,4.0000,32.3750
007154,01,19900419,MCD,4.0000,31.8750
007154,01,19900420,MCD,4.0000,31.5000
007154,01,19900423,MCD,4.0000,31.1250
