gvkey,iid,datadate,tic,ajexdi,prccd
011259,01,19900102,WMT,8.0000,47.1250
011259,01,19900103,WMT,8.0000,47.1250
011259,01,19900104,WMT,8.0000,46.8750
011259,01,19900105,WMT,8.0000,46.3750
011259,01,19900108,WMT,8.0000,47.0000
011259,01,19900109,WMT,8.0000,45.7500
011259,01,19900110,WMT,8.0000,45.7500
011259,01,19900111,WMT,8.0000,46.2500
011259,01,19900112,WMT,8.0000,44.5000
011259,01,19900115,WMT,8.0000,43.8750
011259,01,19900116,WMT,8.0000,44.6250
011259,01,19900117,WMT,8.0000,44.1250
011259,01,19900118,WMT,8.0000,43.3750
011259,01,19900119,WMT,8.0000,43.5000
011259,01,19900122,WMT,8.0000,42.3750
011259,01,19900123,WMT,8.0000,42.3750
011259,01,19900124,WMT,8.0000,42.6250
011259,01,19900125,WMT,8.0000,41.8750
011259,01,19900126,WMT,8.0000,42.1250
011259,01,19900129,WMT,8.0000,42.3750
011259,01,19900130,WMT,8.0000,42.0000
011259,01,19900131,WMT,8.0000,42.6250
011259,01,19900201,WMT,8.0000,42.1250
011259,01,19900202,WMT,8.0000,42.0000
011259,01,19900205,WMT,8.0000,41.7500
011259,01,19900206,WMT,8.0000,41.6250
011259,01,19900207,WMT,8.0000,42.7500
011259,01,19900208,WMT,8.0000,42.5000
011259,01,19900209,WMT,8.0000,43.6250
011259,01,19900212,WMT,8.0000,42.8750
011259,01,19900213,WMT,8.0000,43.0000
011259,01,19900214,WMT,8.0000,43.0000
011259,01,19900215,WMT,8.0000,43.5000
011259,01,19900216,WMT,8.0000,42.8750
011259,01,19900220,WMT,8.0000,41.7500
011259,01,19900221,WMT,8.0000,41.6250
011259,01,19900222,WMT,8.0000,41.0000
011259,01,19900223,WMT,8.0000,40.6250
011259,01,19900226,WMT,8.0000,41.8750
011259,01,19900227,WMT,8.0000,43.2500
011259,01,19900228,WMT,8.0000,44.0000
011259,01,19900301,WMT,8.0000,44.6250
011259,01,19900302,WMT,8.0000,45.1250
011259,01,19900305,WMT,8.0000,44.8750
011259,01,19900306,WMT,8.0000,45.7500
011259,01,19900307,WMT,8.0000,45.2500
011259,01,19900308,WMT,8.0000,46.1250
011259,01,19900309,WMT,8.0000,46.1250
011259,01,19900312,WMT,8.0000,46.5000
011259,01,19900313,WMT,8.0000,45.8750
011259,01,19900314,WMT,8.0000,46.2500
011259,01,19900315,WMT,8.0000,46.5000
011259,01,19900316,WMT,8.0000,47.2500
011259,01,19900319,WMT,8.0000,47.2500
011259,01,19900320,WMT,8.0000,46.8750
011259,01,19900321,WMT,8.0000,47.0000
011259,01,19900322,WMT,8.0000,45.8750
011259,01,19900323,WMT,8.0000,46.5000
011259,01,19900326,WMT,8.0000,46.7500
011259,01,19900327,WMT,8.0000,47.2500
011259,01,19900328,WMT,8.0000,47.5000
011259,01,19900329,WMT,8.0000,47.3750
011259,01,19900330,WMT,8.0000,47.2500
011259,01,19900402,WMT,8.0000,47.1250
011259,01,19900403,WMT,8.0000,47.6250
011259,01,19900404,WMT,8.0000,47.8750
011259,01,19900405,WMT,8.0000,48.3750
011259,01,19900406,WMT,8.0000,48.3750
011259,01,19900409,WMT,8.0000,48.7500
011259,01,19900410,WMT,8.0000,49.0000
011259,01,19900411,WMT,8.0000,50.0000
011259,01,19900412,WMT,8.0000,51.3750
011259,01,19900416,WMT,8.0000,51.1250
011259,01,19900417,WMT,8.0000,50.5000
011259,01,19900418,WMT,8.0000,49.3750
011259,01,19900419,WMT,8.0000,49.2500
011259,01,19900420,WMT,8.0000,49.1250
011259,01,19900423,WMT,8.0000,48.6250
011259,01,19900424,WMT,8.0000,48.2500
011259,01,19900425,WMT,8.0000,49.3750
011259,01,19900426,WMT,8.0000,49.1250
011259,01,19900427,WMT,8.0000,48.3750
011259,01,19900430,WMT,8.0000,49.6250
011259,01,19900501,WMT,8.0000,50.2500
011259,01,19900502,WMT,8.0000,51.2500
011259,01,19900503,WMT,8.0000,49.7500
011259,01,19900504,WMT,8.0000,50.6250
011259,01,19900507,WMT,8.0000,51.2500
011259,01,19900508,WMT,8.0000,51.3750
011259,01,19900509,WMT,8.0000,51.3750
011259,01,19900510,WMT,8.0000,52.0000
011259,01,19900511,WMT,8.0000,53.5000
011259,01,19900514,WMT,8.0000,54.5000
011259,01,19900515,WMT,8.0000,53.5000
011259,01,19900516,WMT,8.0000,53.0000
011259,01,19900517,WMT,8.0000,54.1250
011259,01,19900518,WMT,8.0000,54.3750
011259,01,19900521,WMT,8.0000,56.2500
011259,01,19900522,WMT,8.0000,56.1250
011259,01,19900523,WMT,8.0000,56.2500
011259,01,19900524,WMT,8.0000,56.0000
011259,01,19900525,WMT,8.0000,55.1250
011259,01,19900529,WMT,8.0000,57.5000
011259,01,19900530,WMT,8.0000,56.7500
011259,01,19900531,WMT,8.0000,56.3750
011259,01,19900601,WMT,8.0000,58.3750
011259,01,19900604,WMT,8.0000,60.6250
011259,01,19900605,WMT,8.0000,60.3750
011259,01,19900606,WMT,8.0000,60.5000
011259,01,19900607,WMT,8.0000,60.8750
011259,01,19900608,WMT,8.0000,59.5000
011259,01,19900611,WMT,8.0000,60.3750
011259,01,19900612,WMT,8.0000,62.2500
011259,01,19900613,WMT,8.0000,62.7500
011259,01,19900614,WMT,8.0000,62.8750
011259,01,19900615,WMT,8.0000,62.7500
011259,01,19900618,WMT,8.0000,61.8750
011259,01,19900619,WMT,8.0000,61.8750
011259,01,19900620,WMT,8.0000,61.7500
011259,01,19900621,WMT,8.0000,62.2500
011259,01,19900622,WMT,8.0000,61.2500
011259,01,19900625,WMT,8.0000,60.1250
011259,01,19900626,WMT,8.0000,59.5000
011259,01,19900627,WMT,8.0000,60.7500
011259,01,19900628,WMT,8.0000,61.6250
011259,01,19900629,WMT,8.0000,62.3750
011259,01,19900702,WMT,8.0000,62.5000
011259,01,19900703,WMT,8.0000,62.7500
011259,01,19900705,WMT,8.0000,61.8750
011259,01,19900706,WMT,8.0000,62.5000
011259,01,19900709,WMT,4.0000,32.7500
011259,01,19900710,WMT,4.0000,33.3750
011259,01,19900711,WMT,4.0000,33.7500
011259,01,19900712,WMT,4.0000,34.5000
011259,01,19900713,WMT,4.0000,35.6250
011259,01,19900716,WMT,4.0000,36.2500
011259,01,19900717,WMT,4.0000,35.5000
011259,01,19900718,WMT,4.0000,33.7500
011259,01,19900719,WMT,4.0000,33.5000
011259,01,19900720,WMT,4.0000,33.5000
011259,01,19900723,WMT,4.0000,32.5000
011259,01,19900724,WMT,4.0000,32.5000
011259,01,19900725,WMT,4.0000,33.2500
011259,01,19900726,WMT,4.0000,32.6250
011259,01,19900727,WMT,4.0000,31.6250
011259,01,19900730,WMT,4.0000,31.7500
011259,01,19900731,WMT,4.0000,31.3750
011259,01,19900801,WMT,4.0000,30.5000
011259,01,19900802,WMT,4.0000,29.8750
011259,01,19900803,WMT,4.0000,30.3750
011259,01,19900806,WMT,4.0000,28.6250
011259,01,19900807,WMT,4.0000,28.6250
011259,01,19900808,WMT,4.0000,30.2500
011259,01,19900809,WMT,4.0000,30.6250
011259,01,19900810,WMT,4.0000,29.8750
011259,01,19900813,WMT,4.0000,30.3750
011259,01,19900814,WMT,4.0000,30.5000
011259,01,19900815,WMT,4.0000,30.2500
011259,01,19900816,WMT,4.0000,29.1250
011259,01,19900817,WMT,4.0000,28.0000
011259,01,19900820,WMT,4.0000,28.2500
011259,01,19900821,WMT,4.0000,27.3750
011259,01,19900822,WMT,4.0000,26.8750
011259,01,19900823,WMT,4.0000,25.5000
011259,01,19900824,WMT,4.0000,26.8750
011259,01,19900827,WMT,4.0000,29.0000
011259,01,19900828,WMT,4.0000,28.8750
011259,01,19900829,WMT,4.0000,29.0000
011259,01,19900830,WMT,4.0000,27.7500
011259,01,19900831,WMT,4.0000,28.5000
011259,01,19900904,WMT,4.0000,28.7500
011259,01,19900905,WMT,4.0000,28.3750
011259,01,19900906,WMT,4.0000,27.5000
011259,01,19900907,WMT,4.0000,28.0000
011259,01,19900910,WMT,4.0000,27.0000
011259,01,19900911,WMT,4.0000,26.7500
011259,01,19900912,WMT,4.0000,26.5000
011259,01,19900913,WMT,4.0000,26.5000
011259,01,19900914,WMT,4.0000,26.3750
011259,01,19900917,WMT,4.0000,26.6250
011259,01,19900918,WMT,4.0000,27.0000
011259,01,19900919,WMT,4.0000,26.7500
