gvkey,iid,datadate,tic,conm,ajexdi,prccd
001690,01,19900102,AAPL,APPLE INC,28.0000,37.2500
001690,01,19900103,AAPL,APPLE INC,28.0000,37.5000
001690,01,19900104,AAPL,APPLE INC,28.0000,37.6250
001690,01,19900105,AAPL,APPLE INC,28.0000,37.7500
001690,01,19900108,AAPL,APPLE INC,28.0000,38.0000
001690,01,19900109,AAPL,APPLE INC,28.0000,37.6250
001690,01,19900110,AAPL,APPLE INC,28.0000,36.0000
001690,01,19900111,AAPL,APPLE INC,28.0000,34.5000
001690,01,19900112,AAPL,APPLE INC,28.0000,34.5000
001690,01,19900115,AAPL,APPLE INC,28.0000,34.2500
001690,01,19900116,AAPL,APPLE INC,28.0000,34.8750
001690,01,19900117,AAPL,APPLE INC,28.0000,33.2500
001690,01,19900118,AAPL,APPLE INC,28.0000,32.3750
001690,01,19900119,AAPL,APPLE INC,28.0000,34.2500
001690,01,19900122,AAPL,APPLE INC,28.0000,33.2500
001690,01,19900123,AAPL,APPLE INC,28.0000,33.7500
001690,01,19900124,AAPL,APPLE INC,28.0000,34.0000
001690,01,19900125,AAPL,APPLE INC,28.0000,34.1250
001690,01,19900126,AAPL,APPLE INC,28.0000,32.7500
001690,01,19900129,AAPL,APPLE INC,28.0000,33.2500
001690,01,19900130,AAPL,APPLE INC,28.0000,34.0000
001690,01,19900131,AAPL,APPLE INC,28.0000,34.0000
001690,01,19900201,AAPL,APPLE INC,28.0000,33.6250
001690,01,19900202,AAPL,APPLE INC,28.0000,34.2500
001690,01,19900205,AAPL,APPLE INC,28.0000,35.0000
001690,01,19900206,AAPL,APPLE INC,28.0000,34.7500
001690,01,19900207,AAPL,APPLE INC,28.0000,33.2500
001690,01,19900208,AAPL,APPLE INC,28.0000,33.0000
001690,01,19900209,AAPL,APPLE INC,28.0000,34.2500
001690,01,19900212,AAPL,APPLE INC,28.0000,34.0000
001690,01,19900213,AAPL,APPLE INC,28.0000,34.5000
001690,01,19900214,AAPL,APPLE INC,28.0000,34.2500
001690,01,19900215,AAPL,APPLE INC,28.0000,34.2500
001690,01,19900216,AAPL,APPLE INC,28.0000,33.7500
001690,01,19900220,AAPL,APPLE INC,28.0000,33.5000
001690,01,19900221,AAPL,APPLE INC,28.0000,34.0000
001690,01,19900222,AAPL,APPLE INC,28.0000,33.0000
001690,01,19900223,AAPL,APPLE INC,28.0000,33.2500
001690,01,19900226,AAPL,APPLE INC,28.0000,34.0000
001690,01,19900227,AAPL,APPLE INC,28.0000,33.5000
001690,01,19900228,AAPL,APPLE INC,28.0000,34.0000
001690,01,19900301,AAPL,APPLE INC,28.0000,34.2500
001690,01,19900302,AAPL,APPLE INC,28.0000,33.7500
001690,01,19900305,AAPL,APPLE INC,28.0000,34.5000
001690,01,19900306,AAPL,APPLE INC,28.0000,35.2500
001690,01,19900307,AAPL,APPLE INC,28.0000,35.3750
001690,01,19900308,AAPL,APPLE INC,28.0000,36.7500
001690,01,19900309,AAPL,APPLE INC,28.0000,36.8750
001690,01,19900312,AAPL,APPLE INC,28.0000,36.6250
001690,01,19900313,AAPL,APPLE INC,28.0000,36.8750
001690,01,19900314,AAPL,APPLE INC,28.0000,36.7500
001690,01,19900315,AAPL,APPLE INC,28.0000,36.7500
001690,01,19900316,AAPL,APPLE INC,28.0000,40.2500
001690,01,19900319,AAPL,APPLE INC,28.0000,42.3750
001690,01,19900320,AAPL,APPLE INC,28.0000,41.3750
001690,01,19900321,AAPL,APPLE INC,28.0000,41.6250
001690,01,19900322,AAPL,APPLE INC,28.0000,40.7500
001690,01,19900323,AAPL,APPLE INC,28.0000,42.2500
001690,01,19900326,AAPL,APPLE INC,28.0000,42.2500
001690,01,19900327,AAPL,APPLE INC,28.0000,42.0000
001690,01,19900328,AAPL,APPLE INC,28.0000,41.2500
001690,01,19900329,AAPL,APPLE INC,28.0000,41.1250
001690,01,19900330,AAPL,APPLE INC,28.0000,40.2500
001690,01,19900402,AAPL,APPLE INC,28.0000,40.2500
001690,01,19900403,AAPL,APPLE INC,28.0000,41.7500
001690,01,19900404,AAPL,APPLE INC,28.0000,41.2500
001690,01,19900405,AAPL,APPLE INC,28.0000,40.2500
001690,01,19900406,AAPL,APPLE INC,28.0000,39.8750
001690,01,19900409,AAPL,APPLE INC,28.0000,41.1250
001690,01,19900410,AAPL,APPLE INC,28.0000,41.2500
001690,01,19900411,AAPL,APPLE INC,28.0000,42.5000
001690,01,19900412,AAPL,APPLE INC,28.0000,43.2500
001690,01,19900416,AAPL,APPLE INC,28.0000,43.7500
001690,01,19900417,AAPL,APPLE INC,28.0000,43.2500
