gvkey,iid,datadate,tic,conm,ajexdi,prccd
003980,01,19900102,DIS,DISNEY (WALT) CO,12.0000,115.5000
003980,01,19900103,DIS,DISNEY (WALT) CO,12.0000,115.7500
003980,01,19900104,DIS,DISNEY (WALT) CO,12.0000,115.6250
003980,01,19900105,DIS,DISNEY (WALT) CO,12.0000,116.0000
003980,01,19900108,DIS,DISNEY (WALT) CO,12.0000,116.8750
003980,01,19900109,DIS,DISNEY (WALT) CO,12.0000,116.7500
003980,01,19900110,DIS,DISNEY (WALT) CO,12.0000,113.0000
003980,01,19900111,DIS,DISNEY (WALT) CO,12.0000,113.0000
003980,01,19900112,DIS,DISNEY (WALT) CO,12.0000,109.7500
003980,01,19900115,DIS,DISNEY (WALT) CO,12.0000,109.8750
003980,01,19900116,DIS,DISNEY (WALT) CO,12.0000,111.8750
003980,01,19900117,DIS,DISNEY (WALT) CO,12.0000,110.1250
003980,01,19900118,DIS,DISNEY (WALT) CO,12.0000,109.7500
003980,01,19900119,DIS,DISNEY (WALT) CO,12.0000,109.5000
003980,01,19900122,DIS,DISNEY (WALT) CO,12.0000,106.0000
003980,01,19900123,DIS,DISNEY (WALT) CO,12.0000,104.8750
003980,01,19900124,DIS,DISNEY (WALT) CO,12.0000,105.5000
003980,01,19900125,DIS,DISNEY (WALT) CO,12.0000,104.5000
003980,01,19900126,DIS,DISNEY (WALT) CO,12.0000,104.2500
003980,01,19900129,DIS,DISNEY (WALT) CO,12.0000,105.8750
003980,01,19900130,DIS,DISNEY (WALT) CO,12.0000,105.0000
003980,01,19900131,DIS,DISNEY (WALT) CO,12.0000,104.1250
003980,01,19900201,DIS,DISNEY (WALT) CO,12.0000,102.0000
003980,01,19900202,DIS,DISNEY (WALT) CO,12.0000,104.7500
003980,01,19900205,DIS,DISNEY (WALT) CO,12.0000,107.8750
003980,01,19900206,DIS,DISNEY (WALT) CO,12.0000,107.6250
003980,01,19900207,DIS,DISNEY (WALT) CO,12.0000,109.0000
003980,01,19900208,DIS,DISNEY (WALT) CO,12.0000,109.0000
003980,01,19900209,DIS,DISNEY (WALT) CO,12.0000,108.5000
003980,01,19900212,DIS,DISNEY (WALT) CO,12.0000,107.1250
003980,01,19900213,DIS,DISNEY (WALT) CO,12.0000,107.6250
003980,01,19900214,DIS,DISNEY (WALT) CO,12.0000,109.1250
003980,01,19900215,DIS,DISNEY (WALT) CO,12.0000,110.2500
003980,01,19900216,DIS,DISNEY (WALT) CO,12.0000,109.7500
003980,01,19900220,DIS,DISNEY (WALT) CO,12.0000,107.7500
003980,01,19900221,DIS,DISNEY (WALT) CO,12.0000,106.8750
003980,01,19900222,DIS,DISNEY (WALT) CO,12.0000,106.3750
003980,01,19900223,DIS,DISNEY (WALT) CO,12.0000,104.7500
003980,01,19900226,DIS,DISNEY (WALT) CO,12.0000,107.3750
003980,01,19900227,DIS,DISNEY (WALT) CO,12.0000,108.6250
003980,01,19900228,DIS,DISNEY (WALT) CO,12.0000,109.5000
003980,01,19900301,DIS,DISNEY (WALT) CO,12.0000,108.1250
003980,01,19900302,DIS,DISNEY (WALT) CO,12.0000,109.1250
003980,01,19900305,DIS,DISNEY (WALT) CO,12.0000,110.6250
003980,01,19900306,DIS,DISNEY (WALT) CO,12.0000,112.1250
003980,01,19900307,DIS,DISNEY (WALT) CO,12.0000,111.8750
003980,01,19900308,DIS,DISNEY (WALT) CO,12.0000,112.5000
003980,01,19900309,DIS,DISNEY (WALT) CO,12.0000,110.8750
003980,01,19900312,DIS,DISNEY (WALT) CO,12.0000,112.0000
003980,01,19900313,DIS,DISNEY (WALT) CO,12.0000,113.3750
003980,01,19900314,DIS,DISNEY (WALT) CO,12.0000,115.3750
003980,01,19900315,DIS,DISNEY (WALT) CO,12.0000,115.0000
003980,01,19900316,DIS,DISNEY (WALT) CO,12.0000,116.0000
003980,01,19900319,DIS,DISNEY (WALT) CO,12.0000,115.6250
003980,01,19900320,DIS,DISNEY (WALT) CO,12.0000,115.8750
003980,01,19900321,DIS,DISNEY (WALT) CO,12.0000,114.8750
003980,01,19900322,DIS,DISNEY (WALT) CO,12.0000,111.8750
003980,01,19900323,DIS,DISNEY (WALT) CO,12.0000,114.2500
003980,01,19900326,DIS,DISNEY (WALT) CO,12.0000,112.8750
003980,01,19900327,DIS,DISNEY (WALT) CO,12.0000,114.0000
003980,01,19900328,DIS,DISNEY (WALT) CO,12.0000,113.3750
003980,01,19900329,DIS,DISNEY (WALT) CO,12.0000,112.0000
003980,01,19900330,DIS,DISNEY (WALT) CO,12.0000,111.1250
003980,01,19900402,DIS,DISNEY (WALT) CO,12.0000,111.1250
003980,01,19900403,DIS,DISNEY (WALT) CO,12.0000,113.7500
003980,01,19900404,DIS,DISNEY (WALT) CO,12.0000,112.0000
003980,01,19900405,DIS,DISNEY (WALT) CO,12.0000,114.2500
003980,01,19900406,DIS,DISNEY (WALT) CO,12.0000,113.8750
003980,01,19900409,DIS,DISNEY (WALT) CO,12.0000,113.7500
003980,01,19900410,DIS,DISNEY (WALT) CO,12.0000,114.0000
003980,01,19900411,DIS,DISNEY (WALT) CO,12.0000,115.0000
003980,01,19900412,DIS,DISNEY (WALT) CO,12.0000,114.6250
003980,01,19900416,DIS,DISNEY (WALT) CO,12.0000,114.2500
003980,01,19900417,DIS,DISNEY (WALT) CO,12.0000,114.2500
003980,01,19900418,DIS,DISNEY (WALT) CO,12.0000,112.6250
003980,01,19900419,DIS,DISNEY (WALT) CO,12.0000,111.7500
003980,01,19900420,DIS,DISNEY (WALT) CO,12.0000,112.0000
003980,01,19900423,DIS,DISNEY (WALT) CO,12.0000,111.1250
003980,01,19900424,DIS,DISNEY (WALT) CO,12.0000,110.2500
003980,01,19900425,DIS,DISNEY (WALT) CO,12.0000,111.2500
003980,01,19900426,DIS,DISNEY (WALT) CO,12.0000,110.7500
003980,01,19900427,DIS,DISNEY (WALT) CO,12.0000,109.6250
003980,01,19900430,DIS,DISNEY (WALT) CO,12.0000,110.5000
003980,01,19900501,DIS,DISNEY (WALT) CO,12.0000,110.6250
003980,01,19900502,DIS,DISNEY (WALT) CO,12.0000,111.2500
003980,01,19900503,DIS,DISNEY (WALT) CO,12.0000,111.8750
003980,01,19900504,DIS,DISNEY (WALT) CO,12.0000,112.7500
