gvkey,iid,datadate,tic,conm,ajexdi,prccd
004598,01,19900102,FDX,FEDEX CORP,4.0000,48.1250
004598,01,19900103,FDX,FEDEX CORP,4.0000,48.7500
004598,01,19900104,FDX,FEDEX CORP,4.0000,48.3750
004598,01,19900105,FDX,FEDEX CORP,4.0000,47.1250
004598,01,19900108,FDX,FEDEX CORP,4.0000,47.2500
004598,01,19900109,FDX,FEDEX CORP,4.0000,47.1250
004598,01,19900110,FDX,FEDEX CORP,4.0000,46.5000
004598,01,19900111,FDX,FEDEX CORP,4.0000,47.1250
004598,01,19900112,FDX,FEDEX CORP,4.0000,46.3750
004598,01,19900115,FDX,FEDEX CORP,4.0000,45.8750
004598,01,19900116,FDX,FEDEX CORP,4.0000,46.7500
004598,01,19900117,FDX,FEDEX CORP,4.0000,46.0000
004598,01,19900118,FDX,FEDEX CORP,4.0000,46.7500
004598,01,19900119,FDX,FEDEX CORP,4.0000,46.7500
004598,01,19900122,FDX,FEDEX CORP,4.0000,44.2500
004598,01,19900123,FDX,FEDEX CORP,4.0000,44.7500
004598,01,19900124,FDX,FEDEX CORP,4.0000,44.5000
004598,01,19900125,FDX,FEDEX CORP,4.0000,44.5000
004598,01,19900126,FDX,FEDEX CORP,4.0000,44.6250
004598,01,19900129,FDX,FEDEX CORP,4.0000,44.6250
004598,01,19900130,FDX,FEDEX CORP,4.0000,44.2500
004598,01,19900131,FDX,FEDEX CORP,4.0000,45.0000
004598,01,19900201,FDX,FEDEX CORP,4.0000,44.8750
004598,01,19900202,FDX,FEDEX CORP,4.0000,45.7500
004598,01,19900205,FDX,FEDEX CORP,4.0000,45.6250
004598,01,19900206,FDX,FEDEX CORP,4.0000,46.0000
004598,01,19900207,FDX,FEDEX CORP,4.0000,45.5000
004598,01,19900208,FDX,FEDEX CORP,4.0000,46.7500
004598,01,19900209,FDX,FEDEX CORP,4.0000,47.1250
004598,01,19900212,FDX,FEDEX CORP,4.0000,46.6250
004598,01,19900213,FDX,FEDEX CORP,4.0000,47.0000
004598,01,19900214,FDX,FEDEX CORP,4.0000,47.0000
004598,01,19900215,FDX,FEDEX CORP,4.0000,46.6250
004598,01,19900216,FDX,FEDEX CORP,4.0000,46.2500
