gvkey,iid,datadate,tic,conm,ajexdi,prccd
005680,01,19900102,HD,HOME DEPOT INC,20.2495,37.7500
005680,01,19900103,HD,HOME DEPOT INC,20.2495,37.8750
005680,01,19900104,HD,HOME DEPOT INC,20.2495,38.1250
005680,01,19900105,HD,HOME DEPOT INC,20.2495,37.6250
005680,01,19900108,HD,HOME DEPOT INC,20.2495,37.2500
005680,01,19900109,HD,HOME DEPOT INC,20.2495,36.2500
005680,01,19900110,HD,HOME DEPOT INC,20.2495,36.5000
005680,01,19900111,HD,HOME DEPOT INC,20.2495,36.7500
005680,01,19900112,HD,HOME DEPOT INC,20.2495,35.3750
005680,01,19900115,HD,HOME DEPOT INC,20.2495,35.0000
005680,01,19900116,HD,HOME DEPOT INC,20.2495,35.5000
005680,01,19900117,HD,HOME DEPOT INC,20.2495,36.5000
005680,01,19900118,HD,HOME DEPOT INC,20.2495,37.7500
005680,01,19900119,HD,HOME DEPOT INC,20.2495,38.3750
005680,01,19900122,HD,HOME DEPOT INC,20.2495,37.5000
005680,01,19900123,HD,HOME DEPOT INC,20.2495,38.1250
005680,01,19900124,HD,HOME DEPOT INC,20.2495,38.1250
005680,01,19900125,HD,HOME DEPOT INC,20.2495,37.0000
005680,01,19900126,HD,HOME DEPOT INC,20.2495,36.6250
005680,01,19900129,HD,HOME DEPOT INC,20.2495,36.0000
005680,01,19900130,HD,HOME DEPOT INC,20.2495,35.0000
005680,01,19900131,HD,HOME DEPOT INC,20.2495,35.1250
005680,01,19900201,HD,HOME DEPOT INC,20.2495,35.2500
005680,01,19900202,HD,HOME DEPOT INC,20.2495,36.3750
005680,01,19900205,HD,HOME DEPOT INC,20.2495,36.8750
005680,01,19900206,HD,HOME DEPOT INC,20.2495,37.0000
005680,01,19900207,HD,HOME DEPOT INC,20.2495,38.0000
005680,01,19900208,HD,HOME DEPOT INC,20.2495,37.1250
005680,01,19900209,HD,HOME DEPOT INC,20.2495,37.6250
005680,01,19900212,HD,HOME DEPOT INC,20.2495,36.8750
005680,01,19900213,HD,HOME DEPOT INC,20.2495,36.8750
005680,01,19900214,HD,HOME DEPOT INC,20.2495,37.0000
005680,01,19900215,HD,HOME DEPOT INC,20.2495,37.0000
005680,01,19900216,HD,HOME DEPOT INC,20.2495,36.3750
005680,01,19900220,HD,HOME DEPOT INC,20.2495,35.7500
005680,01,19900221,HD,HOME DEPOT INC,20.2495,36.8750
005680,01,19900222,HD,HOME DEPOT INC,20.2495,37.7500
005680,01,19900223,HD,HOME DEPOT INC,20.2495,36.6250
005680,01,19900226,HD,HOME DEPOT INC,20.2495,38.0000
005680,01,19900227,HD,HOME DEPOT INC,20.2495,39.2500
005680,01,19900228,HD,HOME DEPOT INC,20.2495,39.7500
005680,01,19900301,HD,HOME DEPOT INC,20.2495,39.8750
005680,01,19900302,HD,HOME DEPOT INC,20.2495,39.8750
005680,01,19900305,HD,HOME DEPOT INC,20.2495,40.1250
005680,01,19900306,HD,HOME DEPOT INC,20.2495,41.6250
005680,01,19900307,HD,HOME DEPOT INC,20.2495,43.8750
005680,01,19900308,HD,HOME DEPOT INC,20.2495,43.8750
005680,01,19900309,HD,HOME DEPOT INC,20.2495,43.3750
005680,01,19900312,HD,HOME DEPOT INC,20.2495,43.7500
005680,01,19900313,HD,HOME DEPOT INC,20.2495,43.0000
005680,01,19900314,HD,HOME DEPOT INC,20.2495,43.2500
005680,01,19900315,HD,HOME DEPOT INC,20.2495,44.0000
005680,01,19900316,HD,HOME DEPOT INC,20.2495,44.6250
005680,01,19900319,HD,HOME DEPOT INC,20.2495,46.6250
005680,01,19900320,HD,HOME DEPOT INC,20.2495,45.8750
005680,01,19900321,HD,HOME DEPOT INC,20.2495,45.3750
005680,01,19900322,HD,HOME DEPOT INC,20.2495,44.3750
005680,01,19900323,HD,HOME DEPOT INC,20.2495,45.6250
005680,01,19900326,HD,HOME DEPOT INC,20.2495,46.7500
005680,01,19900327,HD,HOME DEPOT INC,20.2495,46.8750
005680,01,19900328,HD,HOME DEPOT INC,20.2495,46.2500
005680,01,19900329,HD,HOME DEPOT INC,20.2495,45.8750
005680,01,19900330,HD,HOME DEPOT INC,20.2495,45.7500
005680,01,19900402,HD,HOME DEPOT INC,20.2495,45.7500
005680,01,19900403,HD,HOME DEPOT INC,20.2495,46.8750
005680,01,19900404,HD,HOME DEPOT INC,20.2495,46.3750
005680,01,19900405,HD,HOME DEPOT INC,20.2495,46.8750
005680,01,19900406,HD,HOME DEPOT INC,20.2495,47.1250
005680,01,19900409,HD,HOME DEPOT INC,20.2495,47.2500
005680,01,19900410,HD,HOME DEPOT INC,20.2495,47.2500
005680,01,19900411,HD,HOME DEPOT INC,20.2495,46.8750
005680,01,19900412,HD,HOME DEPOT INC,20.2495,47.0000
005680,01,19900416,HD,HOME DEPOT INC,20.2495,46.8750
005680,01,19900417,HD,HOME DEPOT INC,20.2495,46.3750
005680,01,19900418,HD,HOME DEPOT INC,20.2495,45.6250
005680,01,19900419,HD,HOME DEPOT INC,20.2495,46.5000
