gvkey,iid,datadate,tic,conm,ajexdi,prccd
006066,01,19900102,IBM,INTL BUSINESS MACHINES CORP,4.0000,98.0000
006066,01,19900103,IBM,INTL BUSINESS MACHINES CORP,4.0000,98.8750
006066,01,19900104,IBM,INTL BUSINESS MACHINES CORP,4.0000,100.0000
006066,01,19900105,IBM,INTL BUSINESS MACHINES CORP,4.0000,99.7500
006066,01,19900108,IBM,INTL BUSINESS MACHINES CORP,4.0000,100.3750
006066,01,19900109,IBM,INTL BUSINESS MACHINES CORP,4.0000,99.3750
006066,01,19900110,IBM,INTL BUSINESS MACHINES CORP,4.0000,99.0000
006066,01,19900111,IBM,INTL BUSINESS MACHINES CORP,4.0000,99.8750
006066,01,19900112,IBM,INTL BUSINESS MACHINES CORP,4.0000,97.8750
006066,01,19900115,IBM,INTL BUSINESS MACHINES CORP,4.0000,98.1250
006066,01,19900116,IBM,INTL BUSINESS MACHINES CORP,4.0000,100.1250
006066,01,19900117,IBM,INTL BUSINESS MACHINES CORP,4.0000,98.8750
006066,01,19900118,IBM,INTL BUSINESS MACHINES CORP,4.0000,99.5000
006066,01,19900119,IBM,INTL BUSINESS MACHINES CORP,4.0000,98.6250
006066,01,19900122,IBM,INTL BUSINESS MACHINES CORP,4.0000,96.6250
006066,01,19900123,IBM,INTL BUSINESS MACHINES CORP,4.0000,96.7500
006066,01,19900124,IBM,INTL BUSINESS MACHINES CORP,4.0000,97.5000
006066,01,19900125,IBM,INTL BUSINESS MACHINES CORP,4.0000,95.8750
006066,01,19900126,IBM,INTL BUSINESS MACHINES CORP,4.0000,96.8750
006066,01,19900129,IBM,INTL BUSINESS MACHINES CORP,4.0000,97.2500
006066,01,19900130,IBM,INTL BUSINESS MACHINES CORP,4.0000,97.2500
006066,01,19900131,IBM,INTL BUSINESS MACHINES CORP,4.0000,98.6250
006066,01,19900201,IBM,INTL BUSINESS MACHINES CORP,4.0000,97.7500
006066,01,19900202,IBM,INTL BUSINESS MACHINES CORP,4.0000,98.3750
006066,01,19900205,IBM,INTL BUSINESS MACHINES CORP,4.0000,99.6250
006066,01,19900206,IBM,INTL BUSINESS MACHINES CORP,4.0000,101.0000
006066,01,19900207,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.1250
006066,01,19900208,IBM,INTL BUSINESS MACHINES CORP,4.0000,102.7500
006066,01,19900209,IBM,INTL BUSINESS MACHINES CORP,4.0000,102.5000
006066,01,19900212,IBM,INTL BUSINESS MACHINES CORP,4.0000,101.1250
006066,01,19900213,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.2500
006066,01,19900214,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.7500
006066,01,19900215,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.7500
006066,01,19900216,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.5000
006066,01,19900220,IBM,INTL BUSINESS MACHINES CORP,4.0000,102.8750
006066,01,19900221,IBM,INTL BUSINESS MACHINES CORP,4.0000,104.8750
006066,01,19900222,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.2500
006066,01,19900223,IBM,INTL BUSINESS MACHINES CORP,4.0000,102.6250
006066,01,19900226,IBM,INTL BUSINESS MACHINES CORP,4.0000,104.0000
006066,01,19900227,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.7500
006066,01,19900228,IBM,INTL BUSINESS MACHINES CORP,4.0000,103.8750
006066,01,19900301,IBM,INTL BUSINESS MACHINES CORP,4.0000,104.0000
006066,01,19900302,IBM,INTL BUSINESS MACHINES CORP,4.0000,104.8750
006066,01,19900305,IBM,INTL BUSINESS MACHINES CORP,4.0000,105.0000
006066,01,19900306,IBM,INTL BUSINESS MACHINES CORP,4.0000,105.7500
006066,01,19900307,IBM,INTL BUSINESS MACHINES CORP,4.0000,105.5000
006066,01,19900308,IBM,INTL BUSINESS MACHINES CORP,4.0000,107.0000
006066,01,19900309,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.5000
006066,01,19900312,IBM,INTL BUSINESS MACHINES CORP,4.0000,107.7500
006066,01,19900313,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.2500
006066,01,19900314,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.2500
006066,01,19900315,IBM,INTL BUSINESS MACHINES CORP,4.0000,107.0000
006066,01,19900316,IBM,INTL BUSINESS MACHINES CORP,4.0000,108.6250
006066,01,19900319,IBM,INTL BUSINESS MACHINES CORP,4.0000,109.0000
006066,01,19900320,IBM,INTL BUSINESS MACHINES CORP,4.0000,108.0000
006066,01,19900321,IBM,INTL BUSINESS MACHINES CORP,4.0000,107.2500
006066,01,19900322,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.5000
006066,01,19900323,IBM,INTL BUSINESS MACHINES CORP,4.0000,105.0000
006066,01,19900326,IBM,INTL BUSINESS MACHINES CORP,4.0000,104.1250
006066,01,19900327,IBM,INTL BUSINESS MACHINES CORP,4.0000,104.5000
006066,01,19900328,IBM,INTL BUSINESS MACHINES CORP,4.0000,105.8750
006066,01,19900329,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.0000
006066,01,19900330,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.1250
006066,01,19900402,IBM,INTL BUSINESS MACHINES CORP,4.0000,105.8750
006066,01,19900403,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.6250
006066,01,19900404,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.5000
006066,01,19900405,IBM,INTL BUSINESS MACHINES CORP,4.0000,106.1250
