gvkey,iid,datadate,tic,conm,ajexdi,prccd
002968,01,19900102,JPM,JPMORGAN CHASE & CO,3.0000,30.0000
002968,01,19900103,JPM,JPMORGAN CHASE & CO,3.0000,31.0000
002968,01,19900104,JPM,JPMORGAN CHASE & CO,3.0000,31.1250
002968,01,19900105,JPM,JPMORGAN CHASE & CO,3.0000,31.2500
002968,01,19900108,JPM,JPMORGAN CHASE & CO,3.0000,31.2500
002968,01,19900109,JPM,JPMORGAN CHASE & CO,3.0000,30.2500
002968,01,19900110,JPM,JPMORGAN CHASE & CO,3.0000,30.1250
002968,01,19900111,JPM,JPMORGAN CHASE & CO,3.0000,29.7500
002968,01,19900112,JPM,JPMORGAN CHASE & CO,3.0000,29.5000
002968,01,19900115,JPM,JPMORGAN CHASE & CO,3.0000,29.5000
002968,01,19900116,JPM,JPMORGAN CHASE & CO,3.0000,29.3750
002968,01,19900117,JPM,JPMORGAN CHASE & CO,3.0000,29.2500
002968,01,19900118,JPM,JPMORGAN CHASE & CO,3.0000,29.0000
002968,01,19900119,JPM,JPMORGAN CHASE & CO,3.0000,28.8750
002968,01,19900122,JPM,JPMORGAN CHASE & CO,3.0000,28.0000
002968,01,19900123,JPM,JPMORGAN CHASE & CO,3.0000,27.2500
002968,01,19900124,JPM,JPMORGAN CHASE & CO,3.0000,27.3750
002968,01,19900125,JPM,JPMORGAN CHASE & CO,3.0000,27.1250
002968,01,19900126,JPM,JPMORGAN CHASE & CO,3.0000,26.5000
002968,01,19900129,JPM,JPMORGAN CHASE & CO,3.0000,25.8750
002968,01,19900130,JPM,JPMORGAN CHASE & CO,3.0000,25.2500
002968,01,19900131,JPM,JPMORGAN CHASE & CO,3.0000,25.7500
002968,01,19900201,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900202,JPM,JPMORGAN CHASE & CO,3.0000,26.1250
002968,01,19900205,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900206,JPM,JPMORGAN CHASE & CO,3.0000,25.8750
002968,01,19900207,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900208,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900209,JPM,JPMORGAN CHASE & CO,3.0000,25.8750
002968,01,19900212,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900213,JPM,JPMORGAN CHASE & CO,3.0000,25.7500
002968,01,19900214,JPM,JPMORGAN CHASE & CO,3.0000,26.3750
002968,01,19900215,JPM,JPMORGAN CHASE & CO,3.0000,27.0000
002968,01,19900216,JPM,JPMORGAN CHASE & CO,3.0000,27.1250
002968,01,19900220,JPM,JPMORGAN CHASE & CO,3.0000,26.3750
002968,01,19900221,JPM,JPMORGAN CHASE & CO,3.0000,26.2500
002968,01,19900222,JPM,JPMORGAN CHASE & CO,3.0000,25.8750
002968,01,19900223,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900226,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900227,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900228,JPM,JPMORGAN CHASE & CO,3.0000,25.6250
002968,01,19900301,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900302,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900305,JPM,JPMORGAN CHASE & CO,3.0000,26.3750
002968,01,19900306,JPM,JPMORGAN CHASE & CO,3.0000,26.6250
002968,01,19900307,JPM,JPMORGAN CHASE & CO,3.0000,26.7500
002968,01,19900308,JPM,JPMORGAN CHASE & CO,3.0000,27.5000
002968,01,19900309,JPM,JPMORGAN CHASE & CO,3.0000,26.2500
002968,01,19900312,JPM,JPMORGAN CHASE & CO,3.0000,26.8750
002968,01,19900313,JPM,JPMORGAN CHASE & CO,3.0000,26.8750
002968,01,19900314,JPM,JPMORGAN CHASE & CO,3.0000,26.6250
002968,01,19900315,JPM,JPMORGAN CHASE & CO,3.0000,26.1250
002968,01,19900316,JPM,JPMORGAN CHASE & CO,3.0000,25.6250
002968,01,19900319,JPM,JPMORGAN CHASE & CO,3.0000,25.8750
002968,01,19900320,JPM,JPMORGAN CHASE & CO,3.0000,25.1250
002968,01,19900321,JPM,JPMORGAN CHASE & CO,3.0000,24.6250
002968,01,19900322,JPM,JPMORGAN CHASE & CO,3.0000,24.1250
002968,01,19900323,JPM,JPMORGAN CHASE & CO,3.0000,25.1250
002968,01,19900326,JPM,JPMORGAN CHASE & CO,3.0000,24.3750
002968,01,19900327,JPM,JPMORGAN CHASE & CO,3.0000,24.2500
002968,01,19900328,JPM,JPMORGAN CHASE & CO,3.0000,24.1250
002968,01,19900329,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900330,JPM,JPMORGAN CHASE & CO,3.0000,23.3750
002968,01,19900402,JPM,JPMORGAN CHASE & CO,3.0000,23.0000
002968,01,19900403,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900404,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900405,JPM,JPMORGAN CHASE & CO,3.0000,23.0000
002968,01,19900406,JPM,JPMORGAN CHASE & CO,3.0000,22.8750
002968,01,19900409,JPM,JPMORGAN CHASE & CO,3.0000,23.2500
002968,01,19900410,JPM,JPMORGAN CHASE & CO,3.0000,23.2500
002968,01,19900411,JPM,JPMORGAN CHASE & CO,3.0000,23.3750
002968,01,19900412,JPM,JPMORGAN CHASE & CO,3.0000,24.5000
002968,01,19900416,JPM,JPMORGAN CHASE & CO,3.0000,24.1250
002968,01,19900417,JPM,JPMORGAN CHASE & CO,3.0000,24.2500
002968,01,19900418,JPM,JPMORGAN CHASE & CO,3.0000,24.1250
002968,01,19900419,JPM,JPMORGAN CHASE & CO,3.0000,23.8750
002968,01,19900420,JPM,JPMORGAN CHASE & CO,3.0000,23.2500
002968,01,19900423,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900424,JPM,JPMORGAN CHASE & CO,3.0000,24.0000
002968,01,19900425,JPM,JPMORGAN CHASE & CO,3.0000,24.0000
002968,01,19900426,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900427,JPM,JPMORGAN CHASE & CO,3.0000,23.6250
002968,01,19900430,JPM,JPMORGAN CHASE & CO,3.0000,23.3750
002968,01,19900501,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900502,JPM,JPMORGAN CHASE & CO,3.0000,23.5000
002968,01,19900503,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900504,JPM,JPMORGAN CHASE & CO,3.0000,24.8750
002968,01,19900507,JPM,JPMORGAN CHASE & CO,3.0000,25.3750
002968,01,19900508,JPM,JPMORGAN CHASE & CO,3.0000,25.2500
002968,01,19900509,JPM,JPMORGAN CHASE & CO,3.0000,24.7500
002968,01,19900510,JPM,JPMORGAN CHASE & CO,3.0000,25.0000
002968,01,19900511,JPM,JPMORGAN CHASE & CO,3.0000,25.7500
002968,01,19900514,JPM,JPMORGAN CHASE & CO,3.0000,26.1250
002968,01,19900515,JPM,JPMORGAN CHASE & CO,3.0000,26.8750
002968,01,19900516,JPM,JPMORGAN CHASE & CO,3.0000,26.5000
002968,01,19900517,JPM,JPMORGAN CHASE & CO,3.0000,26.5000
002968,01,19900518,JPM,JPMORGAN CHASE & CO,3.0000,26.7500
002968,01,19900521,JPM,JPMORGAN CHASE & CO,3.0000,26.8750
002968,01,19900522,JPM,JPMORGAN CHASE & CO,3.0000,27.0000
002968,01,19900523,JPM,JPMORGAN CHASE & CO,3.0000,27.0000
002968,01,19900524,JPM,JPMORGAN CHASE & CO,3.0000,27.0000
002968,01,19900525,JPM,JPMORGAN CHASE & CO,3.0000,27.1250
002968,01,19900529,JPM,JPMORGAN CHASE & CO,3.0000,27.3750
002968,01,19900530,JPM,JPMORGAN CHASE & CO,3.0000,27.3750
002968,01,19900531,JPM,JPMORGAN CHASE & CO,3.0000,27.3750
002968,01,19900601,JPM,JPMORGAN CHASE & CO,3.0000,28.0000
002968,01,19900604,JPM,JPMORGAN CHASE & CO,3.0000,28.3750
002968,01,19900605,JPM,JPMORGAN CHASE & CO,3.0000,28.7500
002968,01,19900606,JPM,JPMORGAN CHASE & CO,3.0000,28.6250
002968,01,19900607,JPM,JPMORGAN CHASE & CO,3.0000,28.5000
002968,01,19900608,JPM,JPMORGAN CHASE & CO,3.0000,28.3750
002968,01,19900611,JPM,JPMORGAN CHASE & CO,3.0000,27.6250
002968,01,19900612,JPM,JPMORGAN CHASE & CO,3.0000,27.5000
002968,01,19900613,JPM,JPMORGAN CHASE & CO,3.0000,27.0000
002968,01,19900614,JPM,JPMORGAN CHASE & CO,3.0000,26.5000
002968,01,19900615,JPM,JPMORGAN CHASE & CO,3.0000,26.2500
002968,01,19900618,JPM,JPMORGAN CHASE & CO,3.0000,26.0000
002968,01,19900619,JPM,JPMORGAN CHASE & CO,3.0000,26.3750
002968,01,19900620,JPM,JPMORGAN CHASE & CO,3.0000,25.6250
002968,01,19900621,JPM,JPMORGAN CHASE & CO,3.0000,25.7500
002968,01,19900622,JPM,JPMORGAN CHASE & CO,3.0000,25.1250
002968,01,19900625,JPM,JPMORGAN CHASE & CO,3.0000,24.5000
002968,01,19900626,JPM,JPMORGAN CHASE & CO,3.0000,24.7500
002968,01,19900627,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900628,JPM,JPMORGAN CHASE & CO,3.0000,25.7500
002968,01,19900629,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900702,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900703,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900705,JPM,JPMORGAN CHASE & CO,3.0000,25.6250
002968,01,19900706,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900709,JPM,JPMORGAN CHASE & CO,3.0000,25.5000
002968,01,19900710,JPM,JPMORGAN CHASE & CO,3.0000,24.7500
002968,01,19900711,JPM,JPMORGAN CHASE & CO,3.0000,24.8750
002968,01,19900712,JPM,JPMORGAN CHASE & CO,3.0000,24.3750
002968,01,19900713,JPM,JPMORGAN CHASE & CO,3.0000,24.6250
002968,01,19900716,JPM,JPMORGAN CHASE & CO,3.0000,24.0000
002968,01,19900717,JPM,JPMORGAN CHASE & CO,3.0000,24.3750
002968,01,19900718,JPM,JPMORGAN CHASE & CO,3.0000,24.7500
002968,01,19900719,JPM,JPMORGAN CHASE & CO,3.0000,24.7500
002968,01,19900720,JPM,JPMORGAN CHASE & CO,3.0000,24.2500
002968,01,19900723,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900724,JPM,JPMORGAN CHASE & CO,3.0000,23.8750
002968,01,19900725,JPM,JPMORGAN CHASE & CO,3.0000,24.1250
002968,01,19900726,JPM,JPMORGAN CHASE & CO,3.0000,23.8750
002968,01,19900727,JPM,JPMORGAN CHASE & CO,3.0000,23.5000
002968,01,19900730,JPM,JPMORGAN CHASE & CO,3.0000,23.3750
002968,01,19900731,JPM,JPMORGAN CHASE & CO,3.0000,23.0000
002968,01,19900801,JPM,JPMORGAN CHASE & CO,3.0000,22.0000
002968,01,19900802,JPM,JPMORGAN CHASE & CO,3.0000,21.1250
002968,01,19900803,JPM,JPMORGAN CHASE & CO,3.0000,20.6250
002968,01,19900806,JPM,JPMORGAN CHASE & CO,3.0000,21.3750
002968,01,19900807,JPM,JPMORGAN CHASE & CO,3.0000,22.5000
002968,01,19900808,JPM,JPMORGAN CHASE & CO,3.0000,23.5000
002968,01,19900809,JPM,JPMORGAN CHASE & CO,3.0000,23.7500
002968,01,19900810,JPM,JPMORGAN CHASE & CO,3.0000,23.6250
002968,01,19900813,JPM,JPMORGAN CHASE & CO,3.0000,24.0000
002968,01,19900814,JPM,JPMORGAN CHASE & CO,3.0000,24.1250
002968,01,19900815,JPM,JPMORGAN CHASE & CO,3.0000,23.6250
002968,01,19900816,JPM,JPMORGAN CHASE & CO,3.0000,23.1250
002968,01,19900817,JPM,JPMORGAN CHASE & CO,3.0000,23.1250
002968,01,19900820,JPM,JPMORGAN CHASE & CO,3.0000,22.7500
002968,01,19900821,JPM,JPMORGAN CHASE & CO,3.0000,22.5000
002968,01,19900822,JPM,JPMORGAN CHASE & CO,3.0000,22.3750
002968,01,19900823,JPM,JPMORGAN CHASE & CO,3.0000,21.7500
002968,01,19900824,JPM,JPMORGAN CHASE & CO,3.0000,21.3750
002968,01,19900827,JPM,JPMORGAN CHASE & CO,3.0000,21.6250
002968,01,19900828,JPM,JPMORGAN CHASE & CO,3.0000,21.2500
002968,01,19900829,JPM,JPMORGAN CHASE & CO,3.0000,21.1250
002968,01,19900830,JPM,JPMORGAN CHASE & CO,3.0000,21.1250
002968,01,19900831,JPM,JPMORGAN CHASE & CO,3.0000,21.6250
002968,01,19900904,JPM,JPMORGAN CHASE & CO,3.0000,22.0000
002968,01,19900905,JPM,JPMORGAN CHASE & CO,3.0000,22.5000
002968,01,19900906,JPM,JPMORGAN CHASE & CO,3.0000,22.2500
002968,01,19900907,JPM,JPMORGAN CHASE & CO,3.0000,22.8750
002968,01,19900910,JPM,JPMORGAN CHASE & CO,3.0000,21.8750
002968,01,19900911,JPM,JPMORGAN CHASE & CO,3.0000,21.5000
002968,01,19900912,JPM,JPMORGAN CHASE & CO,3.0000,21.3750
002968,01,19900913,JPM,JPMORGAN CHASE & CO,3.0000,20.8750
002968,01,19900914,JPM,JPMORGAN CHASE & CO,3.0000,20.2500
002968,01,19900917,JPM,JPMORGAN CHASE & CO,3.0000,19.5000
002968,01,19900918,JPM,JPMORGAN CHASE & CO,3.0000,19.5000
002968,01,19900919,JPM,JPMORGAN CHASE & CO,3.0000,18.6250
002968,01,19900920,JPM,JPMORGAN CHASE & CO,3.0000,17.7500
002968,01,19900921,JPM,JPMORGAN CHASE & CO,3.0000,17.0000
002968,01,19900924,JPM,JPMORGAN CHASE & CO,3.0000,15.1250
002968,01,19900925,JPM,JPMORGAN CHASE & CO,3.0000,15.7500
002968,01,19900926,JPM,JPMORGAN CHASE & CO,3.0000,15.0000
002968,01,19900927,JPM,JPMORGAN CHASE & CO,3.0000,14.1250
002968,01,19900928,JPM,JPMORGAN CHASE & CO,3.0000,15.5000
002968,01,19901001,JPM,JPMORGAN CHASE & CO,3.0000,15.5000
002968,01,19901002,JPM,JPMORGAN CHASE & CO,3.0000,15.5000
002968,01,19901003,JPM,JPMORGAN CHASE & CO,3.0000,14.7500
002968,01,19901004,JPM,JPMORGAN CHASE & CO,3.0000,15.1250
002968,01,19901005,JPM,JPMORGAN CHASE & CO,3.0000,15.7500
002968,01,19901008,JPM,JPMORGAN CHASE & CO,3.0000,15.6250
002968,01,19901009,JPM,JPMORGAN CHASE & CO,3.0000,15.3750
002968,01,19901010,JPM,JPMORGAN CHASE & CO,3.0000,15.0000
002968,01,19901011,JPM,JPMORGAN CHASE & CO,3.0000,13.2500
002968,01,19901012,JPM,JPMORGAN CHASE & CO,3.0000,12.6250
002968,01,19901015,JPM,JPMORGAN CHASE & CO,3.0000,12.8750
002968,01,19901016,JPM,JPMORGAN CHASE & CO,3.0000,12.8750
002968,01,19901017,JPM,JPMORGAN CHASE & CO,3.0000,12.5000
002968,01,19901018,JPM,JPMORGAN CHASE & CO,3.0000,12.5000
002968,01,19901019,JPM,JPMORGAN CHASE & CO,3.0000,12.7500
002968,01,19901022,JPM,JPMORGAN CHASE & CO,3.0000,12.7500
002968,01,19901023,JPM,JPMORGAN CHASE & CO,3.0000,12.6250
002968,01,19901024,JPM,JPMORGAN CHASE & CO,3.0000,12.2500
002968,01,19901025,JPM,JPMORGAN CHASE & CO,3.0000,12.2500
002968,01,19901026,JPM,JPMORGAN CHASE & CO,3.0000,11.2500
002968,01,19901029,JPM,JPMORGAN CHASE & CO,3.0000,10.6250
002968,01,19901030,JPM,JPMORGAN CHASE & CO,3.0000,10.8750
002968,01,19901031,JPM,JPMORGAN CHASE & CO,3.0000,10.1250
002968,01,19901101,JPM,JPMORGAN CHASE & CO,3.0000,10.8750
002968,01,19901102,JPM,JPMORGAN CHASE & CO,3.0000,11.6250
002968,01,19901105,JPM,JPMORGAN CHASE & CO,3.0000,11.5000
002968,01,19901106,JPM,JPMORGAN CHASE & CO,3.0000,11.1250
002968,01,19901107,JPM,JPMORGAN CHASE & CO,3.0000,10.7500
002968,01,19901108,JPM,JPMORGAN CHASE & CO,3.0000,11.2500
002968,01,19901109,JPM,JPMORGAN CHASE & CO,3.0000,11.1250
002968,01,19901112,JPM,JPMORGAN CHASE & CO,3.0000,12.0000
002968,01,19901113,JPM,JPMORGAN CHASE & CO,3.0000,11.7500
002968,01,19901114,JPM,JPMORGAN CHASE & CO,3.0000,12.3750
002968,01,19901115,JPM,JPMORGAN CHASE & CO,3.0000,12.0000
002968,01,19901116,JPM,JPMORGAN CHASE & CO,3.0000,12.2500
002968,01,19901119,JPM,JPMORGAN CHASE & CO,3.0000,12.5000
002968,01,19901120,JPM,JPMORGAN CHASE & CO,3.0000,11.7500
002968,01,19901121,JPM,JPMORGAN CHASE & CO,3.0000,11.6250
002968,01,19901123,JPM,JPMORGAN CHASE & CO,3.0000,11.3750
002968,01,19901126,JPM,JPMORGAN CHASE & CO,3.0000,11.7500
002968,01,19901127,JPM,JPMORGAN CHASE & CO,3.0000,11.7500
002968,01,19901128,JPM,JPMORGAN CHASE & CO,3.0000,11.3750
002968,01,19901129,JPM,JPMORGAN CHASE & CO,3.0000,11.0000
002968,01,19901130,JPM,JPMORGAN CHASE & CO,3.0000,11.3750
002968,01,19901203,JPM,JPMORGAN CHASE & CO,3.0000,12.0000
002968,01,19901204,JPM,JPMORGAN CHASE & CO,3.0000,12.5000
