gvkey,iid,datadate,tic,conm,ajexdi,prccd
006266,01,19900102,JNJ,JOHNSON & JOHNSON,8.0000,59.8750
006266,01,19900103,JNJ,JOHNSON & JOHNSON,8.0000,60.1250
006266,01,19900104,JNJ,JOHNSON & JOHNSON,8.0000,60.2500
006266,01,19900105,JNJ,JOHNSON & JOHNSON,8.0000,59.6250
006266,01,19900108,JNJ,JOHNSON & JOHNSON,8.0000,60.6250
006266,01,19900109,JNJ,JOHNSON & JOHNSON,8.0000,58.7500
006266,01,19900110,JNJ,JOHNSON & JOHNSON,8.0000,57.8750
006266,01,19900111,JNJ,JOHNSON & JOHNSON,8.0000,58.6250
006266,01,19900112,JNJ,JOHNSON & JOHNSON,8.0000,56.8750
006266,01,19900115,JNJ,JOHNSON & JOHNSON,8.0000,56.6250
006266,01,19900116,JNJ,JOHNSON & JOHNSON,8.0000,56.6250
006266,01,19900117,JNJ,JOHNSON & JOHNSON,8.0000,56.1250
006266,01,19900118,JNJ,JOHNSON & JOHNSON,8.0000,56.6250
006266,01,19900119,JNJ,JOHNSON & JOHNSON,8.0000,57.3750
006266,01,19900122,JNJ,JOHNSON & JOHNSON,8.0000,55.3750
006266,01,19900123,JNJ,JOHNSON & JOHNSON,8.0000,55.2500
006266,01,19900124,JNJ,JOHNSON & JOHNSON,8.0000,54.2500
006266,01,19900125,JNJ,JOHNSON & JOHNSON,8.0000,53.0000
006266,01,19900126,JNJ,JOHNSON & JOHNSON,8.0000,52.8750
006266,01,19900129,JNJ,JOHNSON & JOHNSON,8.0000,52.8750
006266,01,19900130,JNJ,JOHNSON & JOHNSON,8.0000,52.0000
006266,01,19900131,JNJ,JOHNSON & JOHNSON,8.0000,52.3750
006266,01,19900201,JNJ,JOHNSON & JOHNSON,8.0000,53.3750
006266,01,19900202,JNJ,JOHNSON & JOHNSON,8.0000,54.6250
006266,01,19900205,JNJ,JOHNSON & JOHNSON,8.0000,54.2500
006266,01,19900206,JNJ,JOHNSON & JOHNSON,8.0000,54.0000
006266,01,19900207,JNJ,JOHNSON & JOHNSON,8.0000,54.7500
006266,01,19900208,JNJ,JOHNSON & JOHNSON,8.0000,55.7500
006266,01,19900209,JNJ,JOHNSON & JOHNSON,8.0000,56.1250
006266,01,19900212,JNJ,JOHNSON & JOHNSON,8.0000,55.7500
006266,01,19900213,JNJ,JOHNSON & JOHNSON,8.0000,55.0000
006266,01,19900214,JNJ,JOHNSON & JOHNSON,8.0000,55.5000
006266,01,19900215,JNJ,JOHNSON & JOHNSON,8.0000,56.3750
006266,01,19900216,JNJ,JOHNSON & JOHNSON,8.0000,55.5000
006266,01,19900220,JNJ,JOHNSON & JOHNSON,8.0000,54.5000
006266,01,19900221,JNJ,JOHNSON & JOHNSON,8.0000,53.7500
006266,01,19900222,JNJ,JOHNSON & JOHNSON,8.0000,53.1250
006266,01,19900223,JNJ,JOHNSON & JOHNSON,8.0000,52.1250
006266,01,19900226,JNJ,JOHNSON & JOHNSON,8.0000,53.3750
006266,01,19900227,JNJ,JOHNSON & JOHNSON,8.0000,53.3750
006266,01,19900228,JNJ,JOHNSON & JOHNSON,8.0000,53.6250
006266,01,19900301,JNJ,JOHNSON & JOHNSON,8.0000,54.0000
006266,01,19900302,JNJ,JOHNSON & JOHNSON,8.0000,55.0000
006266,01,19900305,JNJ,JOHNSON & JOHNSON,8.0000,54.1250
006266,01,19900306,JNJ,JOHNSON & JOHNSON,8.0000,55.2500
006266,01,19900307,JNJ,JOHNSON & JOHNSON,8.0000,55.2500
006266,01,19900308,JNJ,JOHNSON & JOHNSON,8.0000,55.8750
006266,01,19900309,JNJ,JOHNSON & JOHNSON,8.0000,55.6250
006266,01,19900312,JNJ,JOHNSON & JOHNSON,8.0000,55.3750
006266,01,19900313,JNJ,JOHNSON & JOHNSON,8.0000,54.3750
006266,01,19900314,JNJ,JOHNSON & JOHNSON,8.0000,55.1250
006266,01,19900315,JNJ,JOHNSON & JOHNSON,8.0000,56.8750
006266,01,19900316,JNJ,JOHNSON & JOHNSON,8.0000,57.2500
006266,01,19900319,JNJ,JOHNSON & JOHNSON,8.0000,57.0000
006266,01,19900320,JNJ,JOHNSON & JOHNSON,8.0000,56.3750
006266,01,19900321,JNJ,JOHNSON & JOHNSON,8.0000,55.8750
006266,01,19900322,JNJ,JOHNSON & JOHNSON,8.0000,54.8750
006266,01,19900323,JNJ,JOHNSON & JOHNSON,8.0000,55.7500
006266,01,19900326,JNJ,JOHNSON & JOHNSON,8.0000,55.8750
006266,01,19900327,JNJ,JOHNSON & JOHNSON,8.0000,57.1250
006266,01,19900328,JNJ,JOHNSON & JOHNSON,8.0000,57.1250
006266,01,19900329,JNJ,JOHNSON & JOHNSON,8.0000,56.6250
006266,01,19900330,JNJ,JOHNSON & JOHNSON,8.0000,56.1250
006266,01,19900402,JNJ,JOHNSON & JOHNSON,8.0000,56.1250
006266,01,19900403,JNJ,JOHNSON & JOHNSON,8.0000,57.6250
006266,01,19900404,JNJ,JOHNSON & JOHNSON,8.0000,56.7500
006266,01,19900405,JNJ,JOHNSON & JOHNSON,8.0000,57.1250
006266,01,19900406,JNJ,JOHNSON & JOHNSON,8.0000,57.1250
006266,01,19900409,JNJ,JOHNSON & JOHNSON,8.0000,58.1250
006266,01,19900410,JNJ,JOHNSON & JOHNSON,8.0000,58.1250
006266,01,19900411,JNJ,JOHNSON & JOHNSON,8.0000,58.2500
006266,01,19900412,JNJ,JOHNSON & JOHNSON,8.0000,58.6250
006266,01,19900416,JNJ,JOHNSON & JOHNSON,8.0000,58.3750
006266,01,19900417,JNJ,JOHNSON & JOHNSON,8.0000,59.1250
006266,01,19900418,JNJ,JOHNSON & JOHNSON,8.0000,58.6250
006266,01,19900419,JNJ,JOHNSON & JOHNSON,8.0000,58.1250
006266,01,19900420,JNJ,JOHNSON & JOHNSON,8.0000,58.2500
006266,01,19900423,JNJ,JOHNSON & JOHNSON,8.0000,57.1250
006266,01,19900424,JNJ,JOHNSON & JOHNSON,8.0000,56.6250
006266,01,19900425,JNJ,JOHNSON & JOHNSON,8.0000,56.5000
006266,01,19900426,JNJ,JOHNSON & JOHNSON,8.0000,57.1250
006266,01,19900427,JNJ,JOHNSON & JOHNSON,8.0000,56.3750
006266,01,19900430,JNJ,JOHNSON & JOHNSON,8.0000,56.6250
006266,01,19900501,JNJ,JOHNSON & JOHNSON,8.0000,57.2500
006266,01,19900502,JNJ,JOHNSON & JOHNSON,8.0000,58.2500
006266,01,19900503,JNJ,JOHNSON & JOHNSON,8.0000,58.0000
006266,01,19900504,JNJ,JOHNSON & JOHNSON,8.0000,59.0000
006266,01,19900507,JNJ,JOHNSON & JOHNSON,8.0000,59.3750
006266,01,19900508,JNJ,JOHNSON & JOHNSON,8.0000,59.2500
006266,01,19900509,JNJ,JOHNSON & JOHNSON,8.0000,58.3750
006266,01,19900510,JNJ,JOHNSON & JOHNSON,8.0000,58.7500
006266,01,19900511,JNJ,JOHNSON & JOHNSON,8.0000,60.0000
006266,01,19900514,JNJ,JOHNSON & JOHNSON,8.0000,60.6250
006266,01,19900515,JNJ,JOHNSON & JOHNSON,8.0000,61.0000
006266,01,19900516,JNJ,JOHNSON & JOHNSON,8.0000,60.8750
006266,01,19900517,JNJ,JOHNSON & JOHNSON,8.0000,61.2500
006266,01,19900518,JNJ,JOHNSON & JOHNSON,8.0000,60.7500
006266,01,19900521,JNJ,JOHNSON & JOHNSON,8.0000,61.7500
006266,01,19900522,JNJ,JOHNSON & JOHNSON,8.0000,62.1250
006266,01,19900523,JNJ,JOHNSON & JOHNSON,8.0000,62.2500
006266,01,19900524,JNJ,JOHNSON & JOHNSON,8.0000,63.5000
006266,01,19900525,JNJ,JOHNSON & JOHNSON,8.0000,62.6250
006266,01,19900529,JNJ,JOHNSON & JOHNSON,8.0000,63.7500
006266,01,19900530,JNJ,JOHNSON & JOHNSON,8.0000,64.1250
006266,01,19900531,JNJ,JOHNSON & JOHNSON,8.0000,63.8750
006266,01,19900601,JNJ,JOHNSON & JOHNSON,8.0000,64.2500
006266,01,19900604,JNJ,JOHNSON & JOHNSON,8.0000,65.1250
006266,01,19900605,JNJ,JOHNSON & JOHNSON,8.0000,65.2500
006266,01,19900606,JNJ,JOHNSON & JOHNSON,8.0000,64.6250
006266,01,19900607,JNJ,JOHNSON & JOHNSON,8.0000,64.2500
006266,01,19900608,JNJ,JOHNSON & JOHNSON,8.0000,63.0000
006266,01,19900611,JNJ,JOHNSON & JOHNSON,8.0000,64.0000
006266,01,19900612,JNJ,JOHNSON & JOHNSON,8.0000,65.0000
006266,01,19900613,JNJ,JOHNSON & JOHNSON,8.0000,64.7500
006266,01,19900614,JNJ,JOHNSON & JOHNSON,8.0000,63.8750
006266,01,19900615,JNJ,JOHNSON & JOHNSON,8.0000,64.3750
