gvkey,iid,datadate,tic,conm,ajexdi,prccd
006375,01,19900102,K,KELLOGG CO,4.0000,68.5000
006375,01,19900103,K,KELLOGG CO,4.0000,67.6250
006375,01,19900104,K,KELLOGG CO,4.0000,67.3750
006375,01,19900105,K,KELLOGG CO,4.0000,67.1250
006375,01,19900108,K,KELLOGG CO,4.0000,66.8750
006375,01,19900109,K,KELLOGG CO,4.0000,66.5000
006375,01,19900110,K,KELLOGG CO,4.0000,65.7500
006375,01,19900111,K,KELLOGG CO,4.0000,66.0000
006375,01,19900112,K,KELLOGG CO,4.0000,65.5000
006375,01,19900115,K,KELLOGG CO,4.0000,65.2500
006375,01,19900116,K,KELLOGG CO,4.0000,67.3750
006375,01,19900117,K,KELLOGG CO,4.0000,66.6250
006375,01,19900118,K,KELLOGG CO,4.0000,66.7500
006375,01,19900119,K,KELLOGG CO,4.0000,65.5000
006375,01,19900122,K,KELLOGG CO,4.0000,64.5000
006375,01,19900123,K,KELLOGG CO,4.0000,64.5000
006375,01,19900124,K,KELLOGG CO,4.0000,64.2500
006375,01,19900125,K,KELLOGG CO,4.0000,64.0000
006375,01,19900126,K,KELLOGG CO,4.0000,64.0000
006375,01,19900129,K,KELLOGG CO,4.0000,63.5000
006375,01,19900130,K,KELLOGG CO,4.0000,64.1250
006375,01,19900131,K,KELLOGG CO,4.0000,64.6250
006375,01,19900201,K,KELLOGG CO,4.0000,64.2500
006375,01,19900202,K,KELLOGG CO,4.0000,64.2500
006375,01,19900205,K,KELLOGG CO,4.0000,63.7500
006375,01,19900206,K,KELLOGG CO,4.0000,62.8750
006375,01,19900207,K,KELLOGG CO,4.0000,63.5000
006375,01,19900208,K,KELLOGG CO,4.0000,63.2500
006375,01,19900209,K,KELLOGG CO,4.0000,64.3750
006375,01,19900212,K,KELLOGG CO,4.0000,63.5000
006375,01,19900213,K,KELLOGG CO,4.0000,63.7500
006375,01,19900214,K,KELLOGG CO,4.0000,63.7500
006375,01,19900215,K,KELLOGG CO,4.0000,63.6250
006375,01,19900216,K,KELLOGG CO,4.0000,63.8750
006375,01,19900220,K,KELLOGG CO,4.0000,63.1250
006375,01,19900221,K,KELLOGG CO,4.0000,62.7500
006375,01,19900222,K,KELLOGG CO,4.0000,62.2500
006375,01,19900223,K,KELLOGG CO,4.0000,62.3750
006375,01,19900226,K,KELLOGG CO,4.0000,61.6250
006375,01,19900227,K,KELLOGG CO,4.0000,61.2500
006375,01,19900228,K,KELLOGG CO,4.0000,61.0000
006375,01,19900301,K,KELLOGG CO,4.0000,60.2500
006375,01,19900302,K,KELLOGG CO,4.0000,59.5000
006375,01,19900305,K,KELLOGG CO,4.0000,59.3750
006375,01,19900306,K,KELLOGG CO,4.0000,60.5000
006375,01,19900307,K,KELLOGG CO,4.0000,60.5000
006375,01,19900308,K,KELLOGG CO,4.0000,60.8750
006375,01,19900309,K,KELLOGG CO,4.0000,60.0000
006375,01,19900312,K,KELLOGG CO,4.0000,60.1250
006375,01,19900313,K,KELLOGG CO,4.0000,59.7500
006375,01,19900314,K,KELLOGG CO,4.0000,59.8750
006375,01,19900315,K,KELLOGG CO,4.0000,60.2500
006375,01,19900316,K,KELLOGG CO,4.0000,60.8750
006375,01,19900319,K,KELLOGG CO,4.0000,60.8750
006375,01,19900320,K,KELLOGG CO,4.0000,62.0000
006375,01,19900321,K,KELLOGG CO,4.0000,61.7500
006375,01,19900322,K,KELLOGG CO,4.0000,60.6250
006375,01,19900323,K,KELLOGG CO,4.0000,60.3750
006375,01,19900326,K,KELLOGG CO,4.0000,60.0000
006375,01,19900327,K,KELLOGG CO,4.0000,60.6250
006375,01,19900328,K,KELLOGG CO,4.0000,60.3750
006375,01,19900329,K,KELLOGG CO,4.0000,61.0000
006375,01,19900330,K,KELLOGG CO,4.0000,61.1250
006375,01,19900402,K,KELLOGG CO,4.0000,61.0000
