gvkey,iid,datadate,tic,conm,ajexdi,prccd
008479,01,19900102,PEP,PEPSICO INC,6.0000,64.2500
008479,01,19900103,PEP,PEPSICO INC,6.0000,63.6250
008479,01,19900104,PEP,PEPSICO INC,6.0000,63.0000
008479,01,19900105,PEP,PEPSICO INC,6.0000,62.1250
008479,01,19900108,PEP,PEPSICO INC,6.0000,63.2500
008479,01,19900109,PEP,PEPSICO INC,6.0000,62.3750
008479,01,19900110,PEP,PEPSICO INC,6.0000,60.7500
008479,01,19900111,PEP,PEPSICO INC,6.0000,60.2500
008479,01,19900112,PEP,PEPSICO INC,6.0000,58.7500
008479,01,19900115,PEP,PEPSICO INC,6.0000,57.6250
008479,01,19900116,PEP,PEPSICO INC,6.0000,59.7500
008479,01,19900117,PEP,PEPSICO INC,6.0000,59.7500
008479,01,19900118,PEP,PEPSICO INC,6.0000,59.2500
008479,01,19900119,PEP,PEPSICO INC,6.0000,60.0000
008479,01,19900122,PEP,PEPSICO INC,6.0000,58.6250
008479,01,19900123,PEP,PEPSICO INC,6.0000,58.6250
008479,01,19900124,PEP,PEPSICO INC,6.0000,58.3750
008479,01,19900125,PEP,PEPSICO INC,6.0000,57.2500
008479,01,19900126,PEP,PEPSICO INC,6.0000,56.0000
008479,01,19900129,PEP,PEPSICO INC,6.0000,56.5000
008479,01,19900130,PEP,PEPSICO INC,6.0000,56.2500
008479,01,19900131,PEP,PEPSICO INC,6.0000,57.5000
008479,01,19900201,PEP,PEPSICO INC,6.0000,58.2500
008479,01,19900202,PEP,PEPSICO INC,6.0000,58.7500
008479,01,19900205,PEP,PEPSICO INC,6.0000,58.3750
008479,01,19900206,PEP,PEPSICO INC,6.0000,59.3750
008479,01,19900207,PEP,PEPSICO INC,6.0000,59.5000
008479,01,19900208,PEP,PEPSICO INC,6.0000,60.0000
008479,01,19900209,PEP,PEPSICO INC,6.0000,60.2500
008479,01,19900212,PEP,PEPSICO INC,6.0000,60.1250
008479,01,19900213,PEP,PEPSICO INC,6.0000,58.7500
008479,01,19900214,PEP,PEPSICO INC,6.0000,58.8750
008479,01,19900215,PEP,PEPSICO INC,6.0000,59.3750
008479,01,19900216,PEP,PEPSICO INC,6.0000,59.0000
008479,01,19900220,PEP,PEPSICO INC,6.0000,58.0000
008479,01,19900221,PEP,PEPSICO INC,6.0000,57.0000
008479,01,19900222,PEP,PEPSICO INC,6.0000,56.6250
008479,01,19900223,PEP,PEPSICO INC,6.0000,56.7500
008479,01,19900226,PEP,PEPSICO INC,6.0000,57.2500
008479,01,19900227,PEP,PEPSICO INC,6.0000,57.8750
008479,01,19900228,PEP,PEPSICO INC,6.0000,58.5000
008479,01,19900301,PEP,PEPSICO INC,6.0000,57.7500
008479,01,19900302,PEP,PEPSICO INC,6.0000,56.8750
008479,01,19900305,PEP,PEPSICO INC,6.0000,56.6250
008479,01,19900306,PEP,PEPSICO INC,6.0000,57.3750
008479,01,19900307,PEP,PEPSICO INC,6.0000,58.2500
008479,01,19900308,PEP,PEPSICO INC,6.0000,59.3750
008479,01,19900309,PEP,PEPSICO INC,6.0000,58.6250
008479,01,19900312,PEP,PEPSICO INC,6.0000,59.7500
008479,01,19900313,PEP,PEPSICO INC,6.0000,59.3750
008479,01,19900314,PEP,PEPSICO INC,6.0000,59.1250
008479,01,19900315,PEP,PEPSICO INC,6.0000,59.3750
008479,01,19900316,PEP,PEPSICO INC,6.0000,60.1250
008479,01,19900319,PEP,PEPSICO INC,6.0000,61.7500
008479,01,19900320,PEP,PEPSICO INC,6.0000,61.5000
008479,01,19900321,PEP,PEPSICO INC,6.0000,61.5000
008479,01,19900322,PEP,PEPSICO INC,6.0000,60.6250
008479,01,19900323,PEP,PEPSICO INC,6.0000,61.6250
008479,01,19900326,PEP,PEPSICO INC,6.0000,62.5000
008479,01,19900327,PEP,PEPSICO INC,6.0000,63.5000
008479,01,19900328,PEP,PEPSICO INC,6.0000,63.8750
008479,01,19900329,PEP,PEPSICO INC,6.0000,63.2500
008479,01,19900330,PEP,PEPSICO INC,6.0000,62.6250
008479,01,19900402,PEP,PEPSICO INC,6.0000,62.8750
008479,01,19900403,PEP,PEPSICO INC,6.0000,64.0000
008479,01,19900404,PEP,PEPSICO INC,6.0000,63.5000
008479,01,19900405,PEP,PEPSICO INC,6.0000,63.7500
008479,01,19900406,PEP,PEPSICO INC,6.0000,65.0000
008479,01,19900409,PEP,PEPSICO INC,6.0000,66.5000
008479,01,19900410,PEP,PEPSICO INC,6.0000,66.3750
008479,01,19900411,PEP,PEPSICO INC,6.0000,66.7500
008479,01,19900412,PEP,PEPSICO INC,6.0000,67.6250
008479,01,19900416,PEP,PEPSICO INC,6.0000,67.7500
008479,01,19900417,PEP,PEPSICO INC,6.0000,67.7500
008479,01,19900418,PEP,PEPSICO INC,6.0000,66.3750
008479,01,19900419,PEP,PEPSICO INC,6.0000,65.5000
008479,01,19900420,PEP,PEPSICO INC,6.0000,65.3750
008479,01,19900423,PEP,PEPSICO INC,6.0000,65.0000
008479,01,19900424,PEP,PEPSICO INC,6.0000,65.0000
008479,01,19900425,PEP,PEPSICO INC,6.0000,64.7500
008479,01,19900426,PEP,PEPSICO INC,6.0000,65.1250
008479,01,19900427,PEP,PEPSICO INC,6.0000,64.5000
008479,01,19900430,PEP,PEPSICO INC,6.0000,66.2500
008479,01,19900501,PEP,PEPSICO INC,6.0000,65.7500
008479,01,19900502,PEP,PEPSICO INC,6.0000,66.8750
008479,01,19900503,PEP,PEPSICO INC,6.0000,67.5000
008479,01,19900504,PEP,PEPSICO INC,6.0000,68.2500
008479,01,19900507,PEP,PEPSICO INC,6.0000,67.8750
008479,01,19900508,PEP,PEPSICO INC,6.0000,67.7500
008479,01,19900509,PEP,PEPSICO INC,6.0000,67.1250
008479,01,19900510,PEP,PEPSICO INC,6.0000,67.3750
008479,01,19900511,PEP,PEPSICO INC,6.0000,69.6250
008479,01,19900514,PEP,PEPSICO INC,6.0000,69.3750
008479,01,19900515,PEP,PEPSICO INC,6.0000,68.7500
008479,01,19900516,PEP,PEPSICO INC,6.0000,68.5000
008479,01,19900517,PEP,PEPSICO INC,6.0000,69.0000
008479,01,19900518,PEP,PEPSICO INC,6.0000,69.3750
008479,01,19900521,PEP,PEPSICO INC,6.0000,71.0000
008479,01,19900522,PEP,PEPSICO INC,6.0000,71.0000
008479,01,19900523,PEP,PEPSICO INC,6.0000,71.8750
008479,01,19900524,PEP,PEPSICO INC,6.0000,71.5000
008479,01,19900525,PEP,PEPSICO INC,6.0000,70.2500
008479,01,19900529,PEP,PEPSICO INC,6.0000,71.8750
008479,01,19900530,PEP,PEPSICO INC,6.0000,73.1250
008479,01,19900531,PEP,PEPSICO INC,6.0000,73.8750
008479,01,19900601,PEP,PEPSICO INC,6.0000,75.0000
008479,01,19900604,PEP,PEPSICO INC,6.0000,76.0000
008479,01,19900605,PEP,PEPSICO INC,6.0000,75.7500
008479,01,19900606,PEP,PEPSICO INC,6.0000,74.8750
008479,01,19900607,PEP,PEPSICO INC,6.0000,74.1250
008479,01,19900608,PEP,PEPSICO INC,6.0000,73.1250
008479,01,19900611,PEP,PEPSICO INC,6.0000,73.0000
008479,01,19900612,PEP,PEPSICO INC,6.0000,74.2500
008479,01,19900613,PEP,PEPSICO INC,6.0000,74.2500
008479,01,19900614,PEP,PEPSICO INC,6.0000,74.1250
008479,01,19900615,PEP,PEPSICO INC,6.0000,74.0000
008479,01,19900618,PEP,PEPSICO INC,6.0000,73.3750
008479,01,19900619,PEP,PEPSICO INC,6.0000,74.2500
008479,01,19900620,PEP,PEPSICO INC,6.0000,74.8750
008479,01,19900621,PEP,PEPSICO INC,6.0000,75.2500
008479,01,19900622,PEP,PEPSICO INC,6.0000,75.0000
008479,01,19900625,PEP,PEPSICO INC,6.0000,74.1250
008479,01,19900626,PEP,PEPSICO INC,6.0000,75.5000
008479,01,19900627,PEP,PEPSICO INC,6.0000,76.5000
008479,01,19900628,PEP,PEPSICO INC,6.0000,78.0000
008479,01,19900629,PEP,PEPSICO INC,6.0000,77.6250
008479,01,19900702,PEP,PEPSICO INC,6.0000,77.8750
008479,01,19900703,PEP,PEPSICO INC,6.0000,78.7500
008479,01,19900705,PEP,PEPSICO INC,6.0000,77.7500
008479,01,19900706,PEP,PEPSICO INC,6.0000,79.8750
008479,01,19900709,PEP,PEPSICO INC,6.0000,78.8750
008479,01,19900710,PEP,PEPSICO INC,6.0000,78.6250
008479,01,19900711,PEP,PEPSICO INC,6.0000,80.0000
008479,01,19900712,PEP,PEPSICO INC,6.0000,80.0000
008479,01,19900713,PEP,PEPSICO INC,6.0000,81.1250
008479,01,19900716,PEP,PEPSICO INC,6.0000,82.1250
008479,01,19900717,PEP,PEPSICO INC,6.0000,83.0000
008479,01,19900718,PEP,PEPSICO INC,6.0000,81.8750
008479,01,19900719,PEP,PEPSICO INC,6.0000,82.5000
008479,01,19900720,PEP,PEPSICO INC,6.0000,81.0000
